,dth1,dth2
0,0.0205,0.015500000000000002
1,0.0205,0.015300000000000001
2,0.0205,0.015100000000000002
3,0.0205,0.014900000000000002
4,0.0205,0.014700000000000001
5,0.0205,0.014500000000000002
6,0.0205,0.014300000000000002
7,0.0205,0.014100000000000001
8,0.0205,0.013900000000000003
9,0.0205,0.0137
10,0.0205,0.013500000000000002
11,0.020300000000000002,0.015500000000000002
12,0.020300000000000002,0.015300000000000001
13,0.020300000000000002,0.015100000000000002
14,0.020300000000000002,0.014900000000000002
15,0.020300000000000002,0.014700000000000001
16,0.020300000000000002,0.014500000000000002
17,0.020300000000000002,0.014300000000000002
18,0.020300000000000002,0.014100000000000001
19,0.020300000000000002,0.013900000000000003
20,0.020300000000000002,0.0137
21,0.020300000000000002,0.013500000000000002
22,0.0201,0.015500000000000002
23,0.0201,0.015300000000000001
24,0.0201,0.015100000000000002
25,0.0201,0.014900000000000002
26,0.0201,0.014700000000000001
27,0.0201,0.014500000000000002
28,0.0201,0.014300000000000002
29,0.0201,0.014100000000000001
30,0.0201,0.013900000000000003
31,0.0201,0.0137
32,0.0201,0.013500000000000002
33,0.0199,0.015500000000000002
34,0.0199,0.015300000000000001
35,0.0199,0.015100000000000002
36,0.0199,0.014900000000000002
37,0.0199,0.014700000000000001
38,0.0199,0.014500000000000002
39,0.0199,0.014300000000000002
40,0.0199,0.014100000000000001
41,0.0199,0.013900000000000003
42,0.0199,0.0137
43,0.0199,0.013500000000000002
44,0.019700000000000002,0.015500000000000002
45,0.019700000000000002,0.015300000000000001
46,0.019700000000000002,0.015100000000000002
47,0.019700000000000002,0.014900000000000002
48,0.019700000000000002,0.014700000000000001
49,0.019700000000000002,0.014500000000000002
50,0.019700000000000002,0.014300000000000002
51,0.019700000000000002,0.014100000000000001
52,0.019700000000000002,0.013900000000000003
53,0.019700000000000002,0.0137
54,0.019700000000000002,0.013500000000000002
55,0.0195,0.015500000000000002
56,0.0195,0.015300000000000001
57,0.0195,0.015100000000000002
58,0.0195,0.014900000000000002
59,0.0195,0.014700000000000001
60,0.0195,0.014500000000000002
61,0.0195,0.014300000000000002
62,0.0195,0.014100000000000001
63,0.0195,0.013900000000000003
64,0.0195,0.0137
65,0.0195,0.013500000000000002
66,0.0205,0.0165
67,0.0205,0.016300000000000002
68,0.0205,0.016100000000000003
69,0.0205,0.015900000000000004
70,0.0205,0.015700000000000002
71,0.0205,0.015500000000000003
72,0.0205,0.015300000000000003
73,0.0205,0.015100000000000002
74,0.0205,0.014900000000000004
75,0.0205,0.014700000000000001
76,0.0205,0.014500000000000002
77,0.020300000000000002,0.0165
78,0.020300000000000002,0.016300000000000002
79,0.020300000000000002,0.016100000000000003
80,0.020300000000000002,0.015900000000000004
81,0.020300000000000002,0.015700000000000002
82,0.020300000000000002,0.015500000000000003
83,0.020300000000000002,0.015300000000000003
84,0.020300000000000002,0.015100000000000002
85,0.020300000000000002,0.014900000000000004
86,0.020300000000000002,0.014700000000000001
87,0.020300000000000002,0.014500000000000002
88,0.0201,0.0165
89,0.0201,0.016300000000000002
90,0.0201,0.016100000000000003
91,0.0201,0.015900000000000004
92,0.0201,0.015700000000000002
93,0.0201,0.015500000000000003
94,0.0201,0.015300000000000003
95,0.0201,0.015100000000000002
96,0.0201,0.014900000000000004
97,0.0201,0.014700000000000001
98,0.0201,0.014500000000000002
99,0.0199,0.0165
100,0.0199,0.016300000000000002
101,0.0199,0.016100000000000003
102,0.0199,0.015900000000000004
103,0.0199,0.015700000000000002
104,0.0199,0.015500000000000003
105,0.0199,0.015300000000000003
106,0.0199,0.015100000000000002
107,0.0199,0.014900000000000004
108,0.0199,0.014700000000000001
109,0.0199,0.014500000000000002
110,0.019700000000000002,0.0165
111,0.019700000000000002,0.016300000000000002
112,0.019700000000000002,0.016100000000000003
113,0.019700000000000002,0.015900000000000004
114,0.019700000000000002,0.015700000000000002
115,0.019700000000000002,0.015500000000000003
116,0.019700000000000002,0.015300000000000003
117,0.019700000000000002,0.015100000000000002
118,0.019700000000000002,0.014900000000000004
119,0.019700000000000002,0.014700000000000001
120,0.019700000000000002,0.014500000000000002
121,0.0195,0.0165
122,0.0195,0.016300000000000002
123,0.0195,0.016100000000000003
124,0.0195,0.015900000000000004
125,0.0195,0.015700000000000002
126,0.0195,0.015500000000000003
127,0.0195,0.015300000000000003
128,0.0195,0.015100000000000002
129,0.0195,0.014900000000000004
130,0.0195,0.014700000000000001
131,0.0195,0.014500000000000002
132,0.0205,0.0175
133,0.0205,0.0173
134,0.0205,0.0171
135,0.0205,0.0169
136,0.0205,0.0167
137,0.0205,0.0165
138,0.0205,0.016300000000000002
139,0.0205,0.0161
140,0.0205,0.0159
141,0.0205,0.0157
142,0.0205,0.0155
143,0.020300000000000002,0.0175
144,0.020300000000000002,0.0173
145,0.020300000000000002,0.0171
146,0.020300000000000002,0.0169
147,0.020300000000000002,0.0167
148,0.020300000000000002,0.0165
149,0.020300000000000002,0.016300000000000002
150,0.020300000000000002,0.0161
151,0.020300000000000002,0.0159
152,0.020300000000000002,0.0157
153,0.020300000000000002,0.0155
154,0.0201,0.0175
155,0.0201,0.0173
156,0.0201,0.0171
157,0.0201,0.0169
158,0.0201,0.0167
159,0.0201,0.0165
160,0.0201,0.016300000000000002
161,0.0201,0.0161
162,0.0201,0.0159
163,0.0201,0.0157
164,0.0201,0.0155
165,0.0199,0.0175
166,0.0199,0.0173
167,0.0199,0.0171
168,0.0199,0.0169
169,0.0199,0.0167
170,0.0199,0.0165
171,0.0199,0.016300000000000002
172,0.0199,0.0161
173,0.0199,0.0159
174,0.0199,0.0157
175,0.0199,0.0155
176,0.019700000000000002,0.0175
177,0.019700000000000002,0.0173
178,0.019700000000000002,0.0171
179,0.019700000000000002,0.0169
180,0.019700000000000002,0.0167
181,0.019700000000000002,0.0165
182,0.019700000000000002,0.016300000000000002
183,0.019700000000000002,0.0161
184,0.019700000000000002,0.0159
185,0.019700000000000002,0.0157
186,0.019700000000000002,0.0155
187,0.0195,0.0175
188,0.0195,0.0173
189,0.0195,0.0171
190,0.0195,0.0169
191,0.0195,0.0167
192,0.0195,0.0165
193,0.0195,0.016300000000000002
194,0.0195,0.0161
195,0.0195,0.0159
196,0.0195,0.0157
197,0.0195,0.0155
198,0.0205,0.018500000000000003
199,0.0205,0.0183
200,0.0205,0.0181
201,0.0205,0.0179
202,0.0205,0.0177
203,0.0205,0.0175
204,0.0205,0.017300000000000003
205,0.0205,0.0171
206,0.0205,0.016900000000000002
207,0.0205,0.0167
208,0.0205,0.0165
209,0.020300000000000002,0.018500000000000003
210,0.020300000000000002,0.0183
211,0.020300000000000002,0.0181
212,0.020300000000000002,0.0179
213,0.020300000000000002,0.0177
214,0.020300000000000002,0.0175
215,0.020300000000000002,0.017300000000000003
216,0.020300000000000002,0.0171
217,0.020300000000000002,0.016900000000000002
218,0.020300000000000002,0.0167
219,0.020300000000000002,0.0165
220,0.0201,0.018500000000000003
221,0.0201,0.0183
222,0.0201,0.0181
223,0.0201,0.0179
224,0.0201,0.0177
225,0.0201,0.0175
226,0.0201,0.017300000000000003
227,0.0201,0.0171
228,0.0201,0.016900000000000002
229,0.0201,0.0167
230,0.0201,0.0165
231,0.0199,0.018500000000000003
232,0.0199,0.0183
233,0.0199,0.0181
234,0.0199,0.0179
235,0.0199,0.0177
236,0.0199,0.0175
237,0.0199,0.017300000000000003
238,0.0199,0.0171
239,0.0199,0.016900000000000002
240,0.0199,0.0167
241,0.0199,0.0165
242,0.019700000000000002,0.018500000000000003
243,0.019700000000000002,0.0183
244,0.019700000000000002,0.0181
245,0.019700000000000002,0.0179
246,0.019700000000000002,0.0177
247,0.019700000000000002,0.0175
248,0.019700000000000002,0.017300000000000003
249,0.019700000000000002,0.0171
250,0.019700000000000002,0.016900000000000002
251,0.019700000000000002,0.0167
252,0.019700000000000002,0.0165
253,0.0195,0.018500000000000003
254,0.0195,0.0183
255,0.0195,0.0181
256,0.0195,0.0179
257,0.0195,0.0177
258,0.0195,0.0175
259,0.0195,0.017300000000000003
260,0.0195,0.0171
261,0.0195,0.016900000000000002
262,0.0195,0.0167
263,0.0195,0.0165
264,0.0205,0.019500000000000003
265,0.0205,0.0193
266,0.0205,0.019100000000000002
267,0.0205,0.0189
268,0.0205,0.0187
269,0.0205,0.018500000000000003
270,0.0205,0.018300000000000004
271,0.0205,0.0181
272,0.0205,0.017900000000000003
273,0.0205,0.0177
274,0.0205,0.0175
275,0.020300000000000002,0.019500000000000003
276,0.020300000000000002,0.0193
277,0.020300000000000002,0.019100000000000002
278,0.020300000000000002,0.0189
279,0.020300000000000002,0.0187
280,0.020300000000000002,0.018500000000000003
281,0.020300000000000002,0.018300000000000004
282,0.020300000000000002,0.0181
283,0.020300000000000002,0.017900000000000003
284,0.020300000000000002,0.0177
285,0.020300000000000002,0.0175
286,0.0201,0.019500000000000003
287,0.0201,0.0193
288,0.0201,0.019100000000000002
289,0.0201,0.0189
290,0.0201,0.0187
291,0.0201,0.018500000000000003
292,0.0201,0.018300000000000004
293,0.0201,0.0181
294,0.0201,0.017900000000000003
295,0.0201,0.0177
296,0.0201,0.0175
297,0.0199,0.019500000000000003
298,0.0199,0.0193
299,0.0199,0.019100000000000002
300,0.0199,0.0189
301,0.0199,0.0187
302,0.0199,0.018500000000000003
303,0.0199,0.018300000000000004
304,0.0199,0.0181
305,0.0199,0.017900000000000003
306,0.0199,0.0177
307,0.0199,0.0175
308,0.019700000000000002,0.019500000000000003
309,0.019700000000000002,0.0193
310,0.019700000000000002,0.019100000000000002
311,0.019700000000000002,0.0189
312,0.019700000000000002,0.0187
313,0.019700000000000002,0.018500000000000003
314,0.019700000000000002,0.018300000000000004
315,0.019700000000000002,0.0181
316,0.019700000000000002,0.017900000000000003
317,0.019700000000000002,0.0177
318,0.019700000000000002,0.0175
319,0.0195,0.019500000000000003
320,0.0195,0.0193
321,0.0195,0.019100000000000002
322,0.0195,0.0189
323,0.0195,0.0187
