"","DIP_Rate","Cell_Line"
"1754",0.000568105145953189,"PC9-DS9"
"1755",-0.00180784989063021,"PC9-DS9"
"1756",0.000712478109250453,"PC9-DS9"
"1757",0.000924716104989739,"PC9-DS9"
"1758",0.00299522947614657,"PC9-DS9"
"1759",0.00611643130401518,"PC9-DS9"
"1760",0.003603597172736,"PC9-DS9"
"1761",-0.00392609077173949,"PC9-DS9"
"1762",0.00208553542692807,"PC9-DS9"
"1763",0.00270426239859204,"PC9-DS9"
"1764",0.00482227649667867,"PC9-DS9"
"1765",-0.000661218710054294,"PC9-DS9"
"1766",0.000812363429991129,"PC9-DS9"
"1767",0.00276553138044931,"PC9-DS9"
"1768",0.00234158253206979,"PC9-DS9"
"1769",-0.000548220210281216,"PC9-DS9"
"1770",0.00235683924486388,"PC9-DS9"
"1771",0.000527780624580647,"PC9-DS9"
"1772",0.000907818479859355,"PC9-DS9"
"1773",0.00088857526552989,"PC9-DS9"
"1774",0.00288349810706691,"PC9-DS9"
"1775",0.00116644040272188,"PC9-DS9"
"1776",-0.00264264510103441,"PC9-DS9"
"1777",3.94761884960038e-05,"PC9-DS9"
"1778",-0.00153209717345335,"PC9-DS9"
"1779",-0.00588151900407266,"PC9-DS9"
"1780",-0.000666825530112188,"PC9-DS9"
"1781",0.00337191765797661,"PC9-DS9"
"1782",0.00300294049629579,"PC9-DS9"
"1783",0.00445031285542595,"PC9-DS9"
"1784",0.00198446616690553,"PC9-DS9"
"1785",0.00376244840494716,"PC9-DS9"
"1786",8.73160522043431e-05,"PC9-DS9"
"1787",0.00303488146877629,"PC9-DS9"
"1788",0.00269910770924418,"PC9-DS9"
"1789",0.00324529100278409,"PC9-DS9"
"1790",-0.00366538377070839,"PC9-DS9"
"1791",0.00575132544331543,"PC9-DS9"
"1792",0.00179996973902646,"PC9-DS9"
"1793",-0.00138429351697144,"PC9-DS9"
"1794",-0.0039267484885655,"PC9-DS9"
"1795",-0.000607828711607565,"PC9-DS9"
"1796",-0.0113384617581242,"PC9-DS9"
"1797",0.00415334339975056,"PC9-DS9"
"1798",0.00379723113007239,"PC9-DS9"
"1799",0.00115082272550401,"PC9-DS9"
"1800",0.005819170547967,"PC9-DS9"
"1801",0.00433700468387191,"PC9-DS9"
"1802",-0.00595192283579124,"PC9-DS9"
"1803",0.00158151176241176,"PC9-DS9"
"1804",0.0019337133908732,"PC9-DS9"
"1805",0.00256872705853115,"PC9-DS9"
"1806",0.00347963455045921,"PC9-DS9"
"1807",0.00240157206997291,"PC9-DS9"
"1808",0.00256068492753496,"PC9-DS9"
"1809",0.00180912897442117,"PC9-DS9"
"1810",0.00265284527830672,"PC9-DS9"
"1811",-3.39297047450671e-05,"PC9-DS9"
"1812",0.00580541055856319,"PC9-DS9"
"1813",-0.00700386276173472,"PC9-DS9"
"1814",0.00492880746726513,"PC9-DS9"
"1815",0.00235022131579174,"PC9-DS9"
"1816",0.00618942084577166,"PC9-DS9"
"1817",0.00141656182148081,"PC9-DS9"
"1818",0.0017522492119381,"PC9-DS9"
"1819",0.00111577906163482,"PC9-DS9"
"1820",-0.00631653933589832,"PC9-DS9"
"1821",-0.00380048844578545,"PC9-DS9"
"1822",0.00312534651956915,"PC9-DS9"
"1823",-0.0117437996550641,"PC9-DS9"
"1824",-0.0112624768036856,"PC9-DS9"
"1825",-0.0025491437293403,"PC9-DS9"
"1826",-0.00139974555799289,"PC9-DS9"
"1827",0.00341313314653086,"PC9-DS9"
"1828",0.000854483027659882,"PC9-DS9"
"1829",0.00181608510412309,"PC9-DS9"
"1830",-0.00105730080954098,"PC9-DS9"
"1831",0.000211614751029449,"PC9-DS9"
"1832",0.00400167160576347,"PC9-DS9"
"1833",-0.00277751501651026,"PC9-DS9"
"1834",0.000119426408974813,"PC9-DS9"
"1835",0.000954034493566993,"PC9-DS9"
"1836",-0.00359169050184435,"PC9-DS9"
"1837",0.00324486420730757,"PC9-DS9"
"1838",0.000315276260730427,"PC9-DS9"
"1839",0.0030488436380048,"PC9-DS9"
"1840",-0.000822143462114518,"PC9-DS9"
"1841",0.00150732306180566,"PC9-DS9"
"1842",0.00197273147068218,"PC9-DS9"
"1843",0.0027339777128981,"PC9-DS9"
"1844",0.00188263246375331,"PC9-DS9"
"1845",-0.00174049025017864,"PC9-DS9"
"1846",-0.00290292404941384,"PC9-DS9"
"1847",0.00584582266814741,"PC9-DS9"
"1848",-0.00648328449285194,"PC9-DS9"
"1849",-0.00197054992235062,"PC9-DS9"
"1850",0.00267784292328166,"PC9-DS9"
"1851",-0.00232287407448671,"PC9-DS9"
"1852",0.00238867293582404,"PC9-DS9"
"1853",-0.000177032781221053,"PC9-DS9"
"1854",0.00294161603566366,"PC9-DS9"
"1855",-0.00136569908031853,"PC9-DS9"
"1856",0.00130261590931931,"PC9-DS9"
"1857",0.00158921155982686,"PC9-DS9"
"1858",0.000631740503890942,"PC9-DS9"
"1859",0.00150152181445251,"PC9-DS9"
"1860",0.00529519253477756,"PC9-DS9"
"1861",0.00416882790954518,"PC9-DS9"
"1862",0.0020019020481425,"PC9-DS9"
"1863",0.000859400980228715,"PC9-DS9"
"1864",-0.00360154280501971,"PC9-DS9"
"1865",0.000957215346473884,"PC9-DS9"
"1866",-0.00111743445587461,"PC9-DS9"
"1867",0.00177439092119873,"PC9-DS9"
"1868",-0.000173554479152447,"PC9-DS9"
"1869",0.00135272273810918,"PC9-DS9"
"1870",-0.000546741483597202,"PC9-DS9"
"1871",0.0009438083971516,"PC9-DS9"
"1872",-0.00253630331644792,"PC9-DS9"
"1873",-0.000298088702831131,"PC9-DS9"
"1874",-0.00339336789659185,"PC9-DS9"
"1875",-0.000642432359152107,"PC9-DS9"
"1876",0.00118501898116403,"PC9-DS9"
"1877",-0.00452269623880874,"PC9-DS9"
"1878",0.00216723002201339,"PC9-DS9"
"1879",0.00354170570993269,"PC9-DS9"
"1880",0.00463213095270416,"PC9-DS9"
"1881",0.00132301907596456,"PC9-DS9"
"1882",0.000439090564713819,"PC9-DS9"
"1883",0.000234013507395169,"PC9-DS9"
"1884",0.00386318091055324,"PC9-DS9"
"1885",-0.00104206132700281,"PC9-DS9"
"1886",0.00240623607468521,"PC9-DS9"
"1887",0.0037749229493606,"PC9-DS9"
"1888",-0.00873872068867007,"PC9-DS9"
"1889",-0.00243383678789832,"PC9-DS9"
"1890",0.00176477020366784,"PC9-DS9"
"1891",0.00282782159392963,"PC9-DS9"
"1892",6.69417466129892e-05,"PC9-DS9"
"1893",-0.000560577665919323,"PC9-DS9"
"1894",0.00101489172087072,"PC9-DS9"
"1895",0.0030582974155746,"PC9-DS9"
"1896",0.00115670485507804,"PC9-DS9"
"1897",0.000989598243706105,"PC9-DS9"
"1898",0.00363691836922726,"PC9-DS9"
"1899",0.000669668338211303,"PC9-DS9"
"1900",-0.00309956619927879,"PC9-DS9"
"1901",-0.00772558453715498,"PC9-DS9"
"1902",0.00206629531254628,"PC9-DS9"
"1903",0.00138159864504618,"PC9-DS9"
"1904",0.00108739070281466,"PC9-DS9"
"1905",-0.00171866366477501,"PC9-DS9"
"1906",0.00226565437374107,"PC9-DS9"
"1907",-0.0119470845228487,"PC9-DS9"
"1908",0.00209739783169683,"PC9-DS9"
"1909",0.00180535980587767,"PC9-DS9"
"1910",-0.00152827501683292,"PC9-DS9"
"1911",0.00146315204912648,"PC9-DS9"
"1912",-0.000310193023233034,"PC9-DS9"
"1913",0.00103632429047665,"PC9-DS9"
"1914",-0.000737975314567503,"PC9-DS9"
"1915",-0.00176970584546113,"PC9-DS9"
"1916",0.00141292862581442,"PC9-DS9"
"1917",0.000910136699978762,"PC9-DS9"
"1918",0.000331735368858729,"PC9-DS9"
"1919",0.00410839917837262,"PC9-DS9"
"1920",0.00332544933833775,"PC9-DS9"
"1921",0.00488172409092544,"PC9-DS9"
"1922",0.00114030377667338,"PC9-DS9"
"1923",0.00176557900783672,"PC9-DS9"
"1924",0.00515586636511852,"PC9-DS9"
"1925",0.00243855730596125,"PC9-DS9"
"1926",-0.000164844362583344,"PC9-DS9"
"1927",0.00301579346382775,"PC9-DS9"
"1928",0.00170241459569851,"PC9-DS9"
"1929",-0.00717582612763548,"PC9-DS9"
"1930",0.00234593526712087,"PC9-DS9"
"1931",-4.73328047422679e-05,"PC9-DS9"
"1932",0.00133111895440216,"PC9-DS9"
"1933",0.00529107396800602,"PC9-DS9"
"1934",0.000722543702890502,"PC9-DS9"
"1935",0.00154906417216282,"PC9-DS9"
"1936",0.0010545190660393,"PC9-DS9"
"1937",0.00358425748734727,"PC9-DS9"
"1938",0.00226607905047814,"PC9-DS9"
"1939",0.00201502930555385,"PC9-DS9"
"1940",0.00418416747934217,"PC9-DS9"
"1941",0.00229225794656261,"PC9-DS9"
"1942",0.00216273767545689,"PC9-DS9"
"1943",0.00258687349341082,"PC9-DS9"
"1944",0.000428989431596326,"PC9-DS9"
"1945",-0.00663145185572884,"PC9-DS9"
"1946",0.00201026263819394,"PC9-DS9"
"1947",0.000178304934527446,"PC9-DS9"
"1948",0.00320044075201624,"PC9-DS9"
"1949",0.00158601042394715,"PC9-DS9"
"1950",0.00154665675207492,"PC9-DS9"
"1951",0.00208533758208541,"PC9-DS9"
"1952",0.0020734283420048,"PC9-DS9"
"1953",0.00132518282525837,"PC9-DS9"
"1954",0.00214312213443883,"PC9-DS9"
"1955",-0.000256098958243147,"PC9-DS9"
"1956",0.00138715079583956,"PC9-DS9"
"1957",0.00335077791187365,"PC9-DS9"
"1958",-0.000217774554598107,"PC9-DS9"
"1959",0.00227866373575998,"PC9-DS9"
"1960",0.00362282089620047,"PC9-DS9"
"1961",0.000967514056394029,"PC9-DS9"
"1962",-0.000174948285632037,"PC9-DS9"
"1963",0.00287344980760675,"PC9-DS9"
"1964",0.00348969260474793,"PC9-DS9"
"1965",-0.00360339849172393,"PC9-DS9"
"1966",0.00183461651877942,"PC9-DS9"
"1967",0.00288470229199955,"PC9-DS9"
"1968",-0.00798718529075945,"PC9-DS9"
"1969",0.000552025141818073,"PC9-DS9"
"1970",0.000789817212505553,"PC9-DS9"
"1971",0.00210626065860603,"PC9-DS9"
"1972",0.00072499747237699,"PC9-DS9"
"1973",0.00346219219796824,"PC9-DS9"
"1974",0.00129643400342434,"PC9-DS9"
"1975",0.00136365914519461,"PC9-DS9"
"1976",0.00156583008259455,"PC9-DS9"
"1977",0.00407970523108577,"PC9-DS9"
"1978",0.00310976934789461,"PC9-DS9"
"1979",-0.00140531161863708,"PC9-DS9"
"1980",0.000410966984785755,"PC9-DS9"
"1981",0.00310285337323939,"PC9-DS9"
"1982",0.00203084678478297,"PC9-DS9"
"1983",0.00215707688400825,"PC9-DS9"
"1984",0.00802652315518811,"PC9-DS9"
"1985",0.00438551760893723,"PC9-DS9"
"1986",-0.00179999612055305,"PC9-DS9"
"1987",0.00293088530081743,"PC9-DS9"
"1988",0.00177811844557417,"PC9-DS9"
"1989",-0.00143333482763998,"PC9-DS9"
"1990",-0.00320460563133364,"PC9-DS9"
"1991",0.00335420204389595,"PC9-DS9"
"1992",0.00417920257452036,"PC9-DS9"
"1993",0.00468035353961858,"PC9-DS9"
"1994",0.00151562832787954,"PC9-DS9"
"1995",0.00229949530835139,"PC9-DS9"
"1996",0.000602249553044619,"PC9-DS9"
"1997",0.00154877834655627,"PC9-DS9"
"1998",0.000848137902770273,"PC9-DS9"
"1999",-0.00057523549910927,"PC9-DS9"
"2000",0.00459909675174914,"PC9-DS9"
"2001",0.0028526695974838,"PC9-DS9"
"2002",0.00384556460537006,"PC9-DS9"
"2003",0.00160875624917842,"PC9-DS9"
"2004",0.0047906301012315,"PC9-DS9"
"2005",0.000869106979514851,"PC9-DS9"
"2006",0.00630491333856549,"PC9-DS9"
"2007",0.00509289376047824,"PC9-DS9"
"2008",0.00408060999542185,"PC9-DS9"
"2009",0.000538056258328775,"PC9-DS9"
"2010",-0.00171930976294763,"PC9-DS9"
"2011",-0.00188172216540747,"PC9-DS9"
"2012",0.00316357485362207,"PC9-DS9"
"2013",0.00379773116709266,"PC9-DS9"
"2014",0.00479599420815406,"PC9-DS9"
"2015",-0.000307852980637046,"PC9-DS9"
"2016",0.00116543176877792,"PC9-DS9"
"2017",0.00679682246519583,"PC9-DS9"
"2018",0.00394427134023902,"PC9-DS8"
"2019",0.00987693728800853,"PC9-DS8"
