,p-value,cell.line,DIP1,DIP2,div1,div2,dth1,dth2
54,0.03024166371577018,PC9.DS8,0.0013,0.0075,0.026,0.026,0.0247,0.0185
55,0.00033044742390276905,PC9.DS8,0.0015,0.0055,0.026,0.026,0.024499999999999997,0.020499999999999997
56,6.851127005268508e-05,PC9.DS8,0.0015,0.005699999999999999,0.026,0.026,0.024499999999999997,0.0203
57,2.916906438333202e-05,PC9.DS8,0.0015,0.0059,0.026,0.026,0.024499999999999997,0.0201
58,0.00040486735069940013,PC9.DS8,0.0015,0.0060999999999999995,0.026,0.026,0.024499999999999997,0.0199
59,0.0010447533746116933,PC9.DS8,0.0015,0.0063,0.026,0.026,0.024499999999999997,0.0197
60,0.00012430232757344698,PC9.DS8,0.0015,0.0065,0.026,0.026,0.024499999999999997,0.0195
61,0.0004036755095740577,PC9.DS8,0.0015,0.006699999999999999,0.026,0.026,0.024499999999999997,0.019299999999999998
62,1.0618281986373031e-05,PC9.DS8,0.0015,0.0069,0.026,0.026,0.024499999999999997,0.0191
63,0.0004771525090049249,PC9.DS8,0.0015,0.0070999999999999995,0.026,0.026,0.024499999999999997,0.0189
64,2.830441044980449e-06,PC9.DS8,0.0015,0.0073,0.026,0.026,0.024499999999999997,0.018699999999999998
65,0.00450292602194761,PC9.DS8,0.0015,0.0075,0.026,0.026,0.024499999999999997,0.0185
66,0.0001169061825058424,PC9.DS8,0.0005,0.0055,0.026,0.027,0.0255,0.0215
67,3.092044432363055e-06,PC9.DS8,0.0005,0.005699999999999999,0.026,0.027,0.0255,0.0213
68,0.006516531365039951,PC9.DS8,0.0005,0.0059,0.026,0.027,0.0255,0.0211
69,0.00043376095177277176,PC9.DS8,0.0005,0.0060999999999999995,0.026,0.027,0.0255,0.020900000000000002
70,0.05442026557369028,PC9.DS8,0.0005,0.0063,0.026,0.027,0.0255,0.0207
71,0.0007665538988081054,PC9.DS8,0.0005,0.0065,0.026,0.027,0.0255,0.0205
72,4.1157430351118184e-05,PC9.DS8,0.0005,0.006699999999999999,0.026,0.027,0.0255,0.0203
73,0.007169421888119025,PC9.DS8,0.0005,0.0069,0.026,0.027,0.0255,0.0201
74,0.0023391097482836445,PC9.DS8,0.0005,0.0070999999999999995,0.026,0.027,0.0255,0.0199
75,1.199185116156871e-05,PC9.DS8,0.0005,0.0073,0.026,0.027,0.0255,0.0197
76,0.00012512140955940227,PC9.DS8,0.0005,0.0075,0.026,0.027,0.0255,0.0195
77,0.005341137533038907,PC9.DS8,0.0007,0.0055,0.026,0.027,0.0253,0.0215
78,0.0012225373244711601,PC9.DS8,0.0007,0.005699999999999999,0.026,0.027,0.0253,0.0213
79,0.01530305874330033,PC9.DS8,0.0007,0.0059,0.026,0.027,0.0253,0.0211
80,0.000981040019223047,PC9.DS8,0.0007,0.0060999999999999995,0.026,0.027,0.0253,0.020900000000000002
81,0.0016540473951186802,PC9.DS8,0.0007,0.0063,0.026,0.027,0.0253,0.0207
82,0.00013919679475534445,PC9.DS8,0.0007,0.0065,0.026,0.027,0.0253,0.0205
83,8.845506594867727e-06,PC9.DS8,0.0007,0.006699999999999999,0.026,0.027,0.0253,0.0203
84,0.018215300409877115,PC9.DS8,0.0007,0.0069,0.026,0.027,0.0253,0.0201
85,0.0129796934207347,PC9.DS8,0.0007,0.0070999999999999995,0.026,0.027,0.0253,0.0199
86,0.00030247965816832906,PC9.DS8,0.0007,0.0073,0.026,0.027,0.0253,0.0197
87,0.0010579396050274378,PC9.DS8,0.0007,0.0075,0.026,0.027,0.0253,0.0195
88,0.004627657797171726,PC9.DS8,0.0009,0.0055,0.026,0.027,0.025099999999999997,0.0215
89,0.00858492489904417,PC9.DS8,0.0009,0.005699999999999999,0.026,0.027,0.025099999999999997,0.0213
90,0.00015611325419901735,PC9.DS8,0.0009,0.0059,0.026,0.027,0.025099999999999997,0.0211
