,DS1,DS3,DS4,DS6,DS7,DS9
0,1.0,1.0,,1.0,1.0,1.0
1,1.04,1.009090909090909,,0.9285714285714286,1.0,1.0
2,1.04,1.0136363636363637,,0.8571428571428571,1.0,0.967741935483871
3,0.98,0.9818181818181818,,0.8571428571428571,0.8888888888888888,0.967741935483871
4,1.0,0.9818181818181818,,0.9285714285714286,0.7777777777777778,0.967741935483871
5,1.0,0.9954545454545455,,1.0,0.7777777777777778,1.032258064516129
6,0.94,0.9818181818181818,,1.0,0.7777777777777778,1.0
7,0.92,0.9772727272727273,,1.0714285714285714,0.7777777777777778,1.0
8,0.96,0.9818181818181818,,1.0,0.7777777777777778,0.967741935483871
9,0.96,0.9863636363636363,,1.0714285714285714,0.6666666666666666,1.0
10,0.98,0.9863636363636363,,1.2857142857142858,0.6666666666666666,1.0
11,0.94,1.0,,1.3571428571428572,0.5555555555555556,1.032258064516129
12,0.9,1.009090909090909,,1.4285714285714286,0.5555555555555556,1.0
13,0.88,0.990909090909091,,1.4285714285714286,0.5555555555555556,1.0
14,0.88,1.0045454545454546,,1.4285714285714286,0.5555555555555556,0.967741935483871
15,0.88,1.009090909090909,,1.4285714285714286,0.5555555555555556,1.0
16,0.9,0.9863636363636363,,1.3571428571428572,0.5555555555555556,1.096774193548387
17,0.92,0.9727272727272728,,1.2857142857142858,0.5555555555555556,1.1290322580645162
18,0.94,1.0045454545454546,,1.2857142857142858,0.5555555555555556,1.1290322580645162
19,0.9,1.0227272727272727,,1.2857142857142858,0.5555555555555556,1.1612903225806452
20,0.9,1.040909090909091,,1.3571428571428572,0.5555555555555556,1.1612903225806452
21,0.9,1.0318181818181817,,1.2857142857142858,0.5555555555555556,1.1935483870967742
22,0.94,1.0272727272727273,,1.2857142857142858,0.4444444444444444,1.1612903225806452
23,0.92,0.9772727272727273,,1.3571428571428572,0.4444444444444444,1.1935483870967742
24,0.94,0.9681818181818181,,1.3571428571428572,0.4444444444444444,1.1935483870967742
25,0.98,0.95,,1.2857142857142858,0.4444444444444444,1.1612903225806452
26,0.94,0.9772727272727273,,1.2857142857142858,0.4444444444444444,1.1612903225806452
27,0.9,0.9272727272727272,,1.3571428571428572,0.4444444444444444,1.2258064516129032
28,0.92,0.9272727272727272,,1.2857142857142858,0.4444444444444444,1.2258064516129032
29,0.9,0.9318181818181818,,1.2142857142857142,0.4444444444444444,1.2580645161290323
30,0.86,0.9545454545454546,,1.2857142857142858,0.4444444444444444,1.2258064516129032
31,0.86,0.9727272727272728,,1.3571428571428572,0.5555555555555556,1.2258064516129032
32,0.82,0.990909090909091,,1.2857142857142858,0.4444444444444444,1.2258064516129032
33,0.8,0.9772727272727273,,1.4285714285714286,0.4444444444444444,1.2580645161290323
34,0.78,0.9590909090909091,,1.3571428571428572,0.4444444444444444,1.1612903225806452
35,0.8,0.9545454545454546,,1.4285714285714286,0.4444444444444444,1.2258064516129032
36,0.8,0.9318181818181818,,1.4285714285714286,0.5555555555555556,1.1935483870967742
37,0.76,0.9136363636363637,,1.3571428571428572,0.5555555555555556,1.1290322580645162
38,0.74,0.9045454545454545,,1.5,0.5555555555555556,1.064516129032258
39,0.72,0.8818181818181818,,1.5,0.5555555555555556,1.064516129032258
40,0.72,0.8954545454545455,,1.5714285714285714,0.5555555555555556,1.032258064516129
41,0.76,0.9181818181818182,,1.5,0.5555555555555556,1.032258064516129
42,0.76,0.9318181818181818,,1.5,0.4444444444444444,1.032258064516129
43,0.76,0.9090909090909091,,1.5714285714285714,0.4444444444444444,1.064516129032258
44,0.78,0.9090909090909091,,1.5714285714285714,0.4444444444444444,1.064516129032258
45,0.74,0.8954545454545455,,1.6428571428571428,0.4444444444444444,1.1290322580645162
46,0.74,0.8818181818181818,,1.7142857142857142,0.4444444444444444,1.1290322580645162
47,0.82,0.8772727272727273,,1.7142857142857142,0.4444444444444444,1.096774193548387
48,0.86,0.8772727272727273,,1.7142857142857142,0.4444444444444444,1.032258064516129
49,0.88,0.8909090909090909,,1.6428571428571428,0.4444444444444444,1.032258064516129
50,0.92,0.8954545454545455,,1.7142857142857142,0.4444444444444444,1.064516129032258
51,0.94,0.8863636363636364,,1.8571428571428572,0.4444444444444444,1.064516129032258
52,0.96,0.8909090909090909,,1.8571428571428572,0.4444444444444444,1.096774193548387
53,0.96,0.8954545454545455,,1.7142857142857142,0.4444444444444444,1.064516129032258
54,1.0,0.8954545454545455,,1.8571428571428572,0.4444444444444444,1.032258064516129
55,1.04,0.8909090909090909,,2.0,0.4444444444444444,1.0
56,1.04,0.9,,2.142857142857143,0.4444444444444444,0.967741935483871
57,1.06,0.8909090909090909,,2.0,0.4444444444444444,1.032258064516129
58,1.06,0.9,,1.9285714285714286,0.4444444444444444,1.096774193548387
59,1.08,0.8772727272727273,,2.0,0.4444444444444444,1.1612903225806452
60,1.08,0.8727272727272727,,2.0,0.4444444444444444,1.2258064516129032
61,1.06,0.8727272727272727,,2.0714285714285716,0.4444444444444444,1.2258064516129032
62,1.06,0.8954545454545455,,2.0714285714285716,0.4444444444444444,1.2580645161290323
63,1.06,0.8727272727272727,,2.0714285714285716,0.4444444444444444,1.1612903225806452
64,1.08,0.8772727272727273,,2.0714285714285716,0.4444444444444444,1.2580645161290323
65,1.04,0.8636363636363636,,2.0714285714285716,0.4444444444444444,1.2580645161290323
66,0.98,0.8727272727272727,,2.0,0.4444444444444444,1.2258064516129032
67,0.9,0.8772727272727273,,1.7857142857142858,0.4444444444444444,1.1612903225806452
68,0.88,0.8772727272727273,,1.7857142857142858,0.4444444444444444,1.1612903225806452
69,0.86,0.8590909090909091,,1.7857142857142858,0.4444444444444444,1.1290322580645162
70,0.88,0.8590909090909091,,2.0,0.5555555555555556,1.096774193548387
71,0.9,0.8909090909090909,,2.0714285714285716,0.5555555555555556,1.1612903225806452
72,0.86,0.9272727272727272,,2.2857142857142856,0.5555555555555556,1.1935483870967742
73,0.94,0.9227272727272727,,2.2142857142857144,0.4444444444444444,1.2258064516129032
74,0.96,0.9045454545454545,,2.5,0.4444444444444444,1.1935483870967742
75,0.88,0.9045454545454545,,2.4285714285714284,0.4444444444444444,1.2258064516129032
76,0.9,0.9181818181818182,,2.4285714285714284,0.4444444444444444,1.1612903225806452
77,0.96,0.9045454545454545,,2.5,0.4444444444444444,1.2580645161290323
78,0.92,0.9181818181818182,,2.5714285714285716,0.4444444444444444,1.1935483870967742
79,0.92,0.9227272727272727,,2.4285714285714284,0.4444444444444444,1.2258064516129032
