,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
66,4.469665451238206e-05,not.assigned,0.0005,0.021,0.0205,66,not.assigned
67,2.319499141506743e-05,not.assigned,0.0005,0.021,0.0205,67,not.assigned
68,0.00036129961977101395,not.assigned,0.0005,0.021,0.0205,68,not.assigned
69,1.000731778285923e-07,not.assigned,0.0005,0.021,0.0205,69,not.assigned
70,0.0003395706356293989,not.assigned,0.0005,0.021,0.0205,70,not.assigned
71,1.1285049806781833e-05,not.assigned,0.0005,0.021,0.0205,71,not.assigned
72,0.024481000412981853,not.assigned,0.0005,0.021,0.0205,72,not.assigned
73,0.00014229721487242267,not.assigned,0.0005,0.021,0.0205,73,not.assigned
74,0.0016107659851085558,not.assigned,0.0005,0.021,0.0205,74,not.assigned
75,0.00043376095177277176,not.assigned,0.0005,0.021,0.0205,75,not.assigned
76,0.0013642821673796168,not.assigned,0.0005,0.021,0.0205,76,not.assigned
77,0.0004893522991996372,not.assigned,0.0007,0.021,0.020300000000000002,77,not.assigned
78,0.003655298017824553,not.assigned,0.0007,0.021,0.020300000000000002,78,not.assigned
79,7.486257277796426e-05,not.assigned,0.0007,0.021,0.020300000000000002,79,not.assigned
80,0.0015268497922834453,not.assigned,0.0007,0.021,0.020300000000000002,80,not.assigned
81,0.0012490581128338286,not.assigned,0.0007,0.021,0.020300000000000002,81,not.assigned
82,0.0005450074658278402,not.assigned,0.0007,0.021,0.020300000000000002,82,not.assigned
83,0.001881882308647169,not.assigned,0.0007,0.021,0.020300000000000002,83,not.assigned
84,0.027917395266910894,not.assigned,0.0007,0.021,0.020300000000000002,84,not.assigned
85,0.005960515173683461,not.assigned,0.0007,0.021,0.020300000000000002,85,not.assigned
86,0.00039252487152271754,not.assigned,0.0007,0.021,0.020300000000000002,86,not.assigned
87,0.00023534425030998868,not.assigned,0.0007,0.021,0.020300000000000002,87,not.assigned
88,0.0003360471736640891,not.assigned,0.0009,0.021,0.0201,88,not.assigned
89,0.0016621834313530852,not.assigned,0.0009,0.021,0.0201,89,not.assigned
90,0.004039459812579534,not.assigned,0.0009,0.021,0.0201,90,not.assigned
91,0.0006840343153691937,not.assigned,0.0009,0.021,0.0201,91,not.assigned
92,0.0014655426034289047,not.assigned,0.0009,0.021,0.0201,92,not.assigned
93,0.003988725701679903,not.assigned,0.0009,0.021,0.0201,93,not.assigned
