,Type,Percent Resistant,Cells per Well,Wells per Plate,DIP Rates
20,resistant,0.010000,5,96,"[ 0.03552354  0.04077874  0.03236133  0.03472609  0.0347246   0.03559875
  0.03453388  0.03270892]"
23,resistant,0.250000,100,96,"[ 0.03491512  0.0353707   0.03482761  0.03455852  0.03500674  0.03476921
  0.03498648  0.03482187  0.03472876  0.03500218  0.0346604   0.03526229
  0.03487545  0.03394461  0.03453736  0.03505646  0.03514089  0.03516325
  0.03514692  0.03481506  0.03487504  0.03508117  0.03519053  0.03512448
  0.03509376  0.0351609   0.03564117  0.03509736  0.03455896  0.03531426
  0.03473266  0.03430412  0.03535756  0.03491773  0.03487721  0.03460567
  0.03513591  0.03506453  0.03428231  0.03516693  0.03498617  0.03467949
  0.03540893  0.03504621  0.03467616  0.0347487   0.03474009  0.03485498
  0.03536836  0.03465383  0.03447924  0.03503775  0.03520481  0.03477654
  0.03486469  0.03484485  0.03549224  0.03525379  0.035149    0.03521058
  0.03468256  0.03506032  0.03506648  0.03458679  0.03514956  0.03536684
  0.03566777  0.0351988   0.03482295  0.03530256  0.03500267  0.03482923
  0.0351435   0.03496156  0.03475819  0.03476074  0.03502644  0.034869
  0.03506576  0.03503413  0.03452972  0.03480394  0.03452027  0.03536462
  0.03494733  0.03483342  0.03500573  0.03513492  0.03489227  0.03506563
  0.0346326   0.03529867  0.03491465  0.0350671   0.03486524  0.03511485]"
24,resistant,0.250000,100,384,"[ 0.03538913  0.03496858  0.03494535  0.03492448  0.03529336  0.03522748
  0.03529988  0.03515441  0.0351613   0.03518782  0.03492327  0.03459212
  0.03532679  0.03513415  0.03474873  0.03494829  0.03505542  0.03496931
  0.03535215  0.03519745  0.03526508  0.03492803  0.03497986  0.03505891
  0.03494006  0.03487752  0.03522994  0.03523388  0.03477542  0.0350418
  0.03492118  0.03470121  0.03459012  0.0355067   0.03488992  0.03525385
  0.03509273  0.0352936   0.0348766   0.03521669  0.03477566  0.03515501
  0.03495458  0.03566166  0.03536203  0.03560557  0.03540894  0.03492814
  0.03510098  0.03530751  0.03462787  0.03457779  0.03543268  0.03503045
  0.03456585  0.03451091  0.03521393  0.03537447  0.03478602  0.03461776
  0.035195    0.03500012  0.03525557  0.03528447  0.03484036  0.03513367
  0.03515747  0.03522159  0.03514599  0.03396508  0.03510866  0.03523251
  0.03503088  0.03515623  0.03522399  0.03445959  0.0349465   0.03519185
  0.03423369  0.03474895  0.03489569  0.03505009  0.03474955  0.0353247
  0.03479861  0.03496018  0.0343096   0.03485926  0.03544675  0.03493688
  0.03516318  0.03504444  0.03514012  0.0350152   0.03512518  0.03513262
  0.03500544  0.03471247  0.03538503  0.03472804  0.03499123  0.03534135
  0.03519402  0.03533933  0.03500637  0.03477211  0.03552447  0.03461971
  0.0347089   0.0350623   0.03475409  0.03475098  0.03502359  0.03481829
  0.03493547  0.03483693  0.0351487   0.03477652  0.03478584  0.03482813
  0.03500272  0.03536632  0.03439469  0.03518444  0.03444115  0.03505432
  0.03532564  0.03472394  0.03482521  0.03532804  0.03465142  0.03471234
  0.03564997  0.03495261  0.03532011  0.03490466  0.03506288  0.0350549
  0.03522573  0.03481288  0.03488213  0.03499488  0.03476304  0.03461014
  0.03458187  0.03565836  0.03456267  0.03504467  0.0351978   0.03479515
  0.03468063  0.03440659  0.0350732   0.03520565  0.03499632  0.03472395
  0.0350137   0.03470192  0.03491997  0.03504907  0.03473585  0.03478771
  0.0342184   0.03533177  0.03500951  0.0351713   0.0349726   0.03457738
  0.03469523  0.03511227  0.03535303  0.03489503  0.03521342  0.03494998
  0.03499419  0.03475336  0.03482671  0.03483563  0.03449801  0.03488938
  0.03529981  0.03524224  0.03496478  0.03565375  0.03565017  0.03526754
  0.03463931  0.03490986  0.03447218  0.0351765   0.03530427  0.03484885
  0.0347009   0.0352116   0.03518568  0.03450326  0.03503076  0.03460688
  0.03461072  0.03438885  0.03402911  0.03500683  0.03535209  0.03462346
  0.03513803  0.03504852  0.03475343  0.03478522  0.03444748  0.03480291
  0.034987    0.03515649  0.03520705  0.03491683  0.03504931  0.03486166
  0.03511382  0.03519817  0.03530126  0.03516992  0.03521658  0.03488148
  0.03500156  0.03542277  0.03497166  0.03487077  0.03498288  0.03438915
  0.03510066  0.0346229   0.03493616  0.03500061  0.03498194  0.03444687
  0.03520739  0.0353262   0.03518034  0.03453422  0.03496785  0.03482656
  0.03513347  0.03475389  0.03531391  0.03494971  0.03490179  0.03542498
  0.03484272  0.03485032  0.03546485  0.03462023  0.03482614  0.03474463
  0.03470424  0.0354416   0.03509938  0.03483922  0.03486832  0.03481829
  0.03519831  0.03519852  0.03444258  0.03509649  0.0349041   0.03477843
  0.03516498  0.03487668  0.03462206  0.03531421  0.03492927  0.03496433
  0.03478961  0.03519501  0.03407442  0.03497991  0.03526511  0.03508033
  0.03517411  0.03525527  0.03485864  0.03500327  0.03479655  0.03542999
  0.03547797  0.03470413  0.03467715  0.03465918  0.03444418  0.03492484
  0.03522824  0.03525725  0.03574762  0.03538047  0.03516286  0.03424354
  0.03460645  0.03494801  0.03486131  0.03491461  0.03480532  0.03482748
  0.03527264  0.03444333  0.03504382  0.03505258  0.03461949  0.03519368
  0.0351731   0.03513951  0.0350607   0.03502567  0.03452372  0.0352405
  0.03539957  0.03492961  0.03532865  0.03488626  0.03420492  0.03575718
  0.03489968  0.03504799  0.03441894  0.03486772  0.03479021  0.03502313
  0.03519499  0.03462023  0.03480494  0.03496564  0.03502399  0.03526067
  0.03554774  0.03463736  0.03450147  0.03484019  0.03522308  0.03499108
  0.03477364  0.03479993  0.03510269  0.03516815  0.03504951  0.03514021
  0.03490425  0.03557787  0.03498348  0.03513781  0.03508367  0.03467398
  0.03530601  0.03513907  0.03512461  0.03504738  0.03516156  0.03498639
  0.03532148  0.0353237   0.03526763  0.03563421  0.03532308  0.03525264
  0.0349436   0.03498061  0.03533535  0.03519282  0.0353666   0.03495257
  0.03458383  0.03510841  0.03540616  0.03512315  0.0348381   0.03511127
  0.03484747  0.03495458  0.03535504  0.03527062  0.03468529  0.03549178
  0.03487876  0.03482317  0.03511532  0.03515625  0.03489961  0.03493354]"
27,resistant,0.000000,100,1536,[]
28,resistant,0.500000,25,96,"[ 0.03490435  0.0345005   0.03492664  0.03488077  0.03546328  0.034946
  0.03506677  0.03482416  0.03516714  0.03495359  0.03501893  0.03523852
  0.03428677  0.03424819  0.03485253  0.03519508  0.03454137  0.03522675
  0.03435548  0.03530157  0.03532795  0.03473634  0.03502149  0.03581848
  0.03542699  0.03487929  0.03482637  0.03496005  0.03508931  0.0342307
  0.0349889   0.0347736   0.03500534  0.03581775  0.03496526  0.03519272
  0.03462339  0.03480547  0.03501447  0.03454651  0.03542557  0.03454255
  0.03627816  0.03486864  0.03479985  0.0351879   0.0346415   0.03664564
  0.03498583  0.03520761  0.03513764  0.03517786  0.03463743  0.03508072
  0.03448905  0.03468908  0.0356887   0.03579013  0.03521282  0.03513526
  0.03519462  0.03518762  0.03499754  0.03499675  0.03455426  0.03515019
  0.03491396  0.0347078   0.03411634  0.03463686  0.0347578   0.0350118
  0.03552109  0.03521596  0.0349959   0.03506038  0.03430715  0.03531298
  0.03519767  0.03458755  0.03529853  0.03530189  0.03462003  0.03413014
  0.03486752  0.03454993  0.03519931  0.03482275  0.03405096  0.03483389
  0.03430444  0.03426183  0.03489412  0.03471645  0.03523518  0.03526462]"
30,resistant,0.500000,25,384,"[ 0.03495528  0.03529248  0.03441359  0.03422194  0.03494032  0.03481714
  0.03469909  0.03532928  0.03525699  0.03489003  0.03493312  0.03438709
  0.03572555  0.03544025  0.03473502  0.03527027  0.03533044  0.03428824
  0.03591157  0.03424345  0.03561709  0.03464819  0.03442881  0.03509288
  0.03463356  0.03366176  0.03504748  0.03510519  0.03602477  0.03517445
  0.03479258  0.0344277   0.03510717  0.03491282  0.03538152  0.03455112
  0.03505704  0.03465995  0.03493403  0.03484177  0.03481706  0.03553721
  0.03440779  0.03522586  0.03553206  0.0349397   0.03515308  0.03503142
  0.03568823  0.03490811  0.03439071  0.03319209  0.03452087  0.03513986
  0.03492455  0.03468535  0.03468496  0.03588921  0.03525947  0.03510342
  0.03509934  0.03423716  0.03482305  0.03507442  0.03505561  0.03461047
  0.03548431  0.03552842  0.03482034  0.0348982   0.03496826  0.03472837
  0.03489475  0.03430962  0.03485133  0.03599734  0.03436495  0.03559743
  0.03517793  0.03509048  0.03540717  0.03497747  0.0351163   0.03473847
  0.03545179  0.03487168  0.0341865   0.03531226  0.03493009  0.03499079
  0.03510772  0.03495402  0.03539677  0.03378652  0.03484154  0.03720168
  0.03492404  0.03496708  0.03513917  0.03475612  0.0347108   0.03491313
  0.03523121  0.03488799  0.03519756  0.03471381  0.03496969  0.03443187
  0.03454745  0.03484296  0.03525467  0.03546044  0.0355354   0.03468569
  0.03462574  0.03510767  0.03502011  0.03500025  0.03516191  0.03560426
  0.0352767   0.03472064  0.0350644   0.035236    0.0351305   0.03536853
  0.03509887  0.0348023   0.03507488  0.03520053  0.03507356  0.03512206
  0.03516524  0.03503683  0.03507957  0.0349049   0.03455822  0.03518179
  0.03504997  0.03484572  0.03533285  0.03544489  0.03472209  0.035101
  0.03464765  0.03493852  0.03366023  0.03517797  0.0353824   0.03470028
  0.03496524  0.03481057  0.03455539  0.03485084  0.03493738  0.03423075
  0.03520788  0.03442039  0.03434929  0.03511054  0.03472696  0.03527694
  0.03431889  0.03504178  0.03546741  0.03519946  0.03455871  0.03486077
  0.03535537  0.03505448  0.0346228   0.03536979  0.0359262   0.03525716
  0.03514703  0.03448374  0.03488961  0.03455712  0.03432194  0.03446924
  0.0358035   0.03438344  0.03541013  0.03509042  0.03432809  0.03554601
  0.03438201  0.03367486  0.03573781  0.03479013  0.03528528  0.03501817
  0.03499592  0.03499615  0.03455615  0.03489976  0.03553362  0.03555598
  0.0344212   0.03562215  0.03506961  0.03495498  0.03521793  0.03444623
  0.03505504  0.03503869  0.03499578  0.03447174  0.03504755  0.03489011
  0.03556168  0.03502365  0.03457859  0.03584697  0.03556146  0.03417639
  0.03449734  0.03461694  0.03471718  0.03499628  0.03408145  0.03437378
  0.03546114  0.03391691  0.03445836  0.03492129  0.03481881  0.03495617
  0.03484364  0.03526129  0.03493299  0.03546167  0.03494454  0.03473602
  0.03482447  0.03490239  0.03415755  0.03479032  0.03606364  0.03554631
  0.03423786  0.03458597  0.034963    0.03523146  0.03497117  0.0347557
  0.03539332  0.03541665  0.03501328  0.03527852  0.03471905  0.03488431
  0.03512725  0.03561098  0.03594554  0.03467744  0.03452138  0.03535098
  0.03460423  0.03527159  0.03493026  0.03523916  0.03463161  0.0348215
  0.03445225  0.03515823  0.03586667  0.03508287  0.03500942  0.03553257
  0.03491798  0.035059    0.03516922  0.03508281  0.03526132  0.03506575
  0.03548675  0.03504006  0.03474547  0.03566522  0.03495453  0.03489989
  0.03464546  0.03547452  0.03537475  0.03538135  0.03481025  0.03491866
  0.03558058  0.03407283  0.03574843  0.0354226   0.03426492  0.03455613
  0.0351043   0.03484803  0.03494913  0.03540606  0.03610922  0.03471511
  0.03408413  0.03520244  0.03510215  0.035073    0.03474559  0.03561295
  0.03474249  0.03566222  0.03508985  0.03509287  0.03521543  0.03525595
  0.03523611  0.03446849  0.03528041  0.03481816  0.03524607  0.03533382
  0.03536803  0.0353455   0.03534848  0.03460186  0.03480858  0.03497277
  0.03540136  0.03475343  0.03454748  0.03539917  0.03547378  0.03513809
  0.03535501  0.03588919  0.03480983  0.03501313  0.0352404   0.0345209
  0.03494107  0.0350802   0.0353848   0.03535352  0.03521537  0.03576522
  0.03519781  0.03468713  0.03502342  0.0348757   0.03514639  0.0356399
  0.03458591  0.03488824  0.03496633  0.03484766  0.03524669  0.03532879
  0.03455902  0.03488666  0.03483625  0.035197    0.03454399  0.03533644
  0.03462495  0.0352942   0.0338496   0.03513572  0.03498267  0.0348349
  0.03495472  0.03561847  0.03358327  0.03556368  0.03470005  0.0349254
  0.03492462  0.0349651   0.03483348  0.03533215  0.03464908  0.03483828
  0.03610657  0.03524464  0.03425324  0.03507894  0.03439365  0.03519578]"
32,resistant,0.100000,25,1536,"[ 0.03707741  0.03515163  0.03495956 ...,  0.03396668  0.03320768
  0.0359484 ]"
33,resistant,1.000000,10,96,"[ 0.03522522  0.03441708  0.03509925  0.03499717  0.03527509  0.03511566
  0.03545593  0.03530368  0.03559605  0.03530913  0.03507312  0.03451854
  0.03497886  0.03511822  0.03519091  0.0345268   0.03541932  0.03444126
  0.03526368  0.03607996  0.03508752  0.03478249  0.03532955  0.03482134
  0.03538661  0.03451221  0.03534006  0.03499607  0.03446996  0.03492229
  0.03539767  0.03430984  0.03483291  0.03478544  0.03471937  0.03503397
  0.03406479  0.03417933  0.03499833  0.03516571  0.03499824  0.03444562
  0.03531606  0.03475998  0.03580418  0.03536369  0.03500491  0.03465118
  0.03489586  0.03472601  0.0349144   0.03517156  0.0353937   0.03477574
  0.033422    0.03512459  0.03516681  0.03494891  0.03518797  0.03494539
  0.03432139  0.03540559  0.03608849  0.03502568  0.0352512   0.03520879
  0.03498384  0.03555101  0.03507231  0.03509335  0.03482829  0.03465346
  0.03296757  0.03549625  0.03445569  0.03571883  0.03510266  0.03457848
  0.03510347  0.03418591  0.03450713  0.03486671  0.035305    0.03510588
  0.03520348  0.03511874  0.03519219  0.03526927  0.03496549  0.03548299
  0.03555813  0.03530126  0.03366028  0.03566952  0.03469854  0.03518623]"
34,resistant,0.001000,50,384,"[ 0.03653564  0.03421875  0.03089012  0.03623807  0.03453873  0.03631468
  0.0353797   0.0347823   0.03600348  0.03397542  0.03621874  0.03727042
  0.03433402  0.03483578  0.03581181  0.03118835  0.03546515]"
37,resistant,0.100000,50,1536,"[ 0.03654424  0.03605255  0.03504814 ...,  0.03456251  0.0339613
  0.03592298]"
