,Type,Percent Resistant,Cells per Well,Wells per Plate,DIP Rates
135,resistant,0.000100,50,96,[]
136,resistant,0.100000,5,384,"[ 0.03442432  0.03489793  0.0352795   0.03294868  0.03528401  0.03632825
  0.03715246  0.03520885  0.03256781  0.0399636   0.03526225  0.0353054
  0.03580233  0.03449041  0.03384434  0.03524757  0.0348059   0.0354371
  0.03682166  0.03323362  0.03595452  0.03391345  0.03370141  0.03404751
  0.0346181   0.03589554  0.03526038  0.03340787  0.0357486   0.03498683
  0.03601349  0.03112509  0.03635971  0.03592724  0.03460593  0.03631242
  0.03608666  0.03461787  0.03530522  0.03522002  0.03543725  0.03539648
  0.03345553  0.03496362  0.03520191  0.0354737   0.0354692   0.0381693
  0.03324487  0.03531945  0.03520955  0.03839195  0.03021395  0.03626998
  0.03589996  0.02953907  0.03706742  0.03470487  0.03432004  0.03493071
  0.03525363  0.03362548  0.03449901  0.03506853  0.03434233  0.03357037
  0.03476625  0.03677161  0.03649147  0.03406916  0.03569197  0.03552248
  0.03484091  0.03641215  0.03466789  0.03390764  0.03642181  0.03537463
  0.03534813  0.03492121  0.03422697  0.03149042  0.03966012  0.03519755
  0.03576723  0.03540872  0.03357551  0.0356385   0.03436116  0.0340034
  0.03556951  0.03444682  0.03603214  0.03644475  0.03336585  0.03737403
  0.03899887  0.03553366  0.03564152  0.0355095   0.03433814  0.03493594
  0.03615723  0.03632278  0.03540465  0.03522041  0.03658165  0.03666785
  0.03394531  0.0338188   0.03266388  0.03536572  0.0351951   0.03439415
  0.03687884  0.03523661  0.00669574  0.03523474  0.03312624  0.03568633
  0.03353977  0.03416633  0.03518749  0.0351688   0.03588667  0.03580737
  0.03180031  0.03660645  0.03558519  0.03277276  0.03420915]"
137,resistant,0.100000,5,96,"[ 0.03670516  0.03152588  0.03415895  0.03558416  0.03425251  0.03569824
  0.03515545  0.03132813  0.03499932  0.03787755  0.03634149  0.03393197
  0.03582059  0.03443894  0.03606174  0.03434799  0.03525625  0.03347806
  0.03747518  0.03376608  0.03924687  0.03528444  0.0339372   0.03581656
  0.03514577  0.03353836  0.03386325  0.03362868  0.03399406  0.0386126
  0.03760506  0.03620182  0.03343209  0.03783018  0.0347737   0.03618815
  0.03487241  0.03596372  0.03599261  0.03683637  0.03656579  0.04431418
  0.03644335  0.03526966]"
139,resistant,0.000001,100,1536,[]
140,resistant,0.000100,1,384,[]
142,resistant,0.050000,10,1536,"[ 0.03448116  0.03668758  0.03096491  0.03452926  0.03302346  0.03652805
  0.03114305  0.03172514  0.03594294  0.03514575  0.03076264  0.03504864
  0.03702656  0.03294934  0.03658925  0.0362039   0.03321151  0.0349733
  0.035864    0.03378477  0.03445997  0.03549015  0.03597745  0.03500284
  0.03374058  0.03353252  0.03975684  0.03488659  0.03535342  0.03758678
  0.03354256  0.03594572  0.03603933  0.03536099  0.03563148  0.03562628
  0.03811365  0.04169585  0.03470566  0.03451768  0.03350153  0.03639628
  0.03447193  0.03703335  0.03412666  0.03706669  0.03690943  0.03653098
  0.03582194  0.03894037  0.03645714  0.03480187  0.03739312  0.0356932
  0.03257306  0.03464705  0.03356522  0.03457058  0.03182309  0.03549955
  0.03264709  0.03310797  0.0361508   0.0347908   0.03128459  0.03018996
  0.03586925  0.03561041  0.03309868  0.03740198  0.03547541  0.03531017
  0.03502148  0.03403106  0.03588308  0.03606954  0.03548895  0.03515622
  0.03446859  0.03188238  0.03655974  0.03344854  0.03448953  0.03807501
  0.03225609  0.03670778  0.03642993  0.03477946  0.03287418  0.03531193
  0.03441305  0.0343533   0.03895378  0.03678445  0.03431157  0.0359531
  0.03521348  0.03403962  0.03280814  0.03479351  0.03287689  0.03519275
  0.03222403  0.0377824   0.03740405  0.03615806  0.03600525  0.03508986
  0.03472788  0.03539016  0.03562265  0.03444345  0.03693472  0.03902245
  0.03547119  0.03408924  0.03741597  0.03608073  0.02810095  0.03558349
  0.02559708  0.03787645  0.03640222  0.02989177  0.03529993  0.03517984
  0.03470619  0.03376184  0.03487511  0.03232111  0.03787703  0.03829296
  0.03655383  0.03360541  0.03617449  0.03585698  0.03290339  0.03533563
  0.03747098  0.02484384  0.03680262  0.0341267   0.0380836   0.03282271
  0.03537305  0.03434142  0.03448309  0.03536937  0.03495276  0.03435877
  0.03565266  0.03683076  0.03590412  0.03525494  0.03598727  0.03637446
  0.03445166  0.03460412  0.03722814  0.03762976  0.03774638  0.03507083
  0.03496199  0.03407893  0.03453861  0.02911717  0.03549255  0.03011181
  0.03436473  0.03434637  0.03306165  0.03442148  0.03436339  0.03495567
  0.03429394  0.01493226  0.03505431  0.03299596  0.0343695   0.03393064
  0.03286537  0.03550542  0.03472181  0.03523835  0.03585608  0.03422628
  0.03390845  0.03572659  0.03567858  0.03432494  0.0267389   0.03445948
  0.03517723  0.03623953  0.0357113   0.03534622  0.03423539  0.03533223
  0.03253836  0.03031082  0.03653332  0.03957882  0.03515716  0.03348661
  0.03566694  0.03606799  0.03387857  0.03515573  0.0227194   0.04033933
  0.03682698  0.0243118   0.03362586  0.0354469   0.03441617  0.03077463
  0.03566811  0.03072629  0.03661048  0.03440887  0.03699694  0.03371812
  0.03322534  0.03480306  0.03657207  0.03533969  0.02064772  0.03721095
  0.0355152   0.03536968  0.02303204  0.03498022  0.03214484  0.03576862
  0.03557495  0.04051956  0.03296931  0.03804046  0.03552787  0.03353996
  0.03641814  0.03285747  0.03485389  0.03452407  0.03445017  0.02958757
  0.03575853  0.03526918  0.04313346  0.03604899  0.03409651  0.03483599
  0.03409988  0.03436606  0.03454002  0.03529632  0.03392978  0.03260999
  0.03487918  0.03453515  0.03585444  0.03244521  0.02152478  0.03425981
  0.03505526  0.0360857   0.03434815  0.03465759  0.03479704  0.03575224
  0.03653431  0.03510091  0.03410021  0.03416775  0.03570347  0.03533464
  0.03401442  0.03748068  0.03589491  0.03648484  0.03515333  0.0361635
  0.03359065  0.03585565  0.03367309  0.03404849  0.03350398  0.03198873
  0.03446794  0.03362116  0.0347229   0.03403925  0.03432631  0.03817227
  0.03750631  0.03485437  0.03516355  0.03726056  0.03871006  0.03386432
  0.03595849  0.03528787  0.03267872  0.03546327  0.03571136  0.03430665
  0.0344226   0.03504999  0.03494073  0.03443168  0.03439367  0.03431908
  0.03340369  0.03612202  0.0369575   0.03498925  0.03501975  0.03853228
  0.03621158  0.03126541  0.03429842  0.0342777   0.0328124   0.03547102
  0.03479289  0.03714552  0.03418883  0.03439296  0.03670617  0.03301019
  0.0343327   0.04311224  0.03211762  0.03373053  0.02854941  0.03574961
  0.03366932  0.0349134   0.03452116  0.03525963  0.03640685  0.03579744
  0.03668437  0.02584701  0.0352986   0.03410863  0.03691085  0.03442348
  0.0318771   0.03651648  0.03392468  0.0354747   0.03540139  0.03653405
  0.03524861  0.03578369  0.04168653  0.03806524  0.0361262   0.03831999
  0.03636968  0.03502181  0.03198026  0.03445494  0.03620117  0.03503598
  0.03465613  0.03430704  0.03581249  0.03411672  0.03185555  0.03414942
  0.03335995  0.03720476  0.03539119  0.03437854  0.03487571  0.03581884
  0.03373171  0.03430561  0.0333059   0.03818788  0.03552597  0.03409958
  0.01896745  0.03527583  0.036147    0.04201423  0.0367304   0.03437691
  0.03368565  0.03477067  0.03217854  0.03393504  0.03482854  0.03419233
  0.02254023  0.03510473  0.0378889   0.03539352  0.03317953  0.03470252
  0.03579257  0.03354167  0.03268593  0.03492135  0.03575265  0.03652506
  0.03621948  0.03460924  0.03816216  0.03419479  0.03465646  0.03562114
  0.0329981   0.03482692  0.03538965  0.0348681   0.03432874  0.03503608
  0.03146202  0.03780464  0.03548718  0.03522225  0.03633479  0.03581625
  0.03293619  0.03377797  0.03378864  0.03528356  0.03674654  0.03641768
  0.03700182  0.0334187   0.03360423  0.03486876  0.03309656  0.03502283
  0.03665544  0.03450029  0.03566245  0.03785046  0.03561242  0.03217349
  0.03545859  0.03449091  0.03336144  0.03262055  0.03339255  0.03528567
  0.03433549  0.03476185  0.03363831  0.03548984  0.03362477  0.03493477
  0.03395758  0.03491634  0.03470928  0.03477423  0.03516741  0.03440436
  0.03763387  0.03376701  0.03661578  0.0341562   0.03514021  0.03477446
  0.03676695  0.04227399  0.03481999  0.03489689  0.03512356  0.03582706
  0.037556    0.0363445   0.01305975  0.03509258  0.03410155  0.03534321
  0.03578829  0.03570534  0.03633364  0.03527746  0.03605124  0.03549564
  0.01931496  0.03485941  0.0351722   0.03469665  0.03442205  0.03343875
  0.03081159  0.0324598   0.03570152  0.03392011  0.03515884  0.03485744
  0.03381455  0.0354553   0.03038116  0.03533377  0.03434763  0.03344575
  0.03489286  0.03503396  0.03489094  0.03410633  0.03476305  0.03440352
  0.03548951  0.03590792  0.03562602  0.03515675  0.03611707  0.03252483
  0.03122448  0.03542476  0.03646337  0.03498279  0.03563954  0.03732914
  0.03635003  0.03486649  0.03388253  0.0359896   0.03302219  0.03693735
  0.03382178  0.03467837  0.03642382  0.03518054  0.03593534  0.03421776
  0.03622213  0.03419753  0.02995019  0.03560905  0.0329213   0.03486626
  0.03337491  0.03577045  0.03194172  0.03601222  0.03556302  0.03524481
  0.03461667  0.03515093  0.0319234   0.03540805  0.03602955  0.03639182
  0.03484809  0.03519115  0.0324729   0.02596077  0.03536342]"
143,resistant,0.500000,10,96,"[ 0.0353308   0.03523289  0.03541831  0.03571058  0.03510214  0.03626627
  0.03454633  0.03541611  0.03525719  0.03605629  0.03533907  0.03421493
  0.03519704  0.03672578  0.0399368   0.03434087  0.0351344   0.03664209
  0.03450748  0.03488553  0.03476206  0.03464487  0.03532537  0.03387665
  0.03470063  0.03480954  0.03394388  0.03532608  0.03516757  0.0345147
  0.03494724  0.03414857  0.03454464  0.03463902  0.03316962  0.03514798
  0.03527926  0.03481866  0.03481911  0.03468161  0.0348195   0.03544499
  0.03452013  0.04011005  0.03515037  0.03472289  0.03456913  0.03564812
  0.03516527  0.03550933  0.0344852   0.03725505  0.03528732  0.03572557
  0.03386008  0.03371715  0.04041085  0.03579095  0.03316573  0.03519571
  0.03432331  0.03434685  0.03502329  0.03498221  0.03507039  0.03508887
  0.03451804  0.03466139  0.03567547  0.03524303  0.03602166  0.03454314
  0.03587707  0.03547461  0.03584814  0.03522702  0.03565071  0.03429408
  0.03435195  0.03601649  0.03448032  0.03366397  0.03433153  0.03503823
  0.03455245  0.03509315  0.0357019   0.03366945  0.03494388  0.03527151
  0.03428177  0.03451133  0.03268358  0.03449335  0.03530899  0.03509255]"
144,resistant,0.010000,50,1536,"[ 0.03254038  0.03478029  0.03425864  0.03453391  0.03428651  0.03520832
  0.0346641   0.03588589  0.0359844   0.03385135  0.03603704  0.03487842
  0.03280007  0.03713333  0.03453807  0.03512413  0.03543592  0.02337159
  0.03279025  0.03479834  0.03492424  0.03644477  0.03535884  0.03269412
  0.03412986  0.03535748  0.0334378   0.03380077  0.03575802  0.03501959
  0.03646352  0.02942538  0.03338534  0.03448286  0.03594525  0.03481545
  0.03595942  0.03703539  0.03319868  0.03359948  0.03573694  0.0358371
  0.03607278  0.03336699  0.03265449  0.03587245  0.03486806  0.03491406
  0.03593187  0.03705949  0.02887522  0.03727974  0.03606292  0.03139757
  0.03317219  0.03572764  0.03303262  0.03861959  0.03537209  0.03327042
 -0.00053535  0.03582153  0.03691188  0.03425819  0.03708472  0.03225037
  0.03506639  0.03713365  0.03495834  0.03412575  0.03496395  0.03596326
  0.03223772  0.03379859  0.03561419  0.03752312  0.03529327  0.03413554
  0.0354078   0.03492812  0.03566318  0.03639485  0.03422831  0.03707971
  0.03517707  0.03801118  0.03451623  0.0315248   0.03554763  0.03059944
  0.03308579  0.04252282  0.03004308  0.03779861  0.03517848  0.03678133
  0.03412603  0.0366604   0.0424683   0.0337101   0.03506117  0.03484551
  0.03367858  0.03623573  0.0303661   0.03579061  0.03495103  0.03661991
  0.03530228  0.03351367  0.03158552  0.03402727  0.035257    0.03584309
  0.03486917  0.03499957  0.03433312  0.03682068  0.0352822   0.03568743
  0.03428588  0.03493598  0.03622808  0.02780938  0.03592043  0.03181391
  0.03613146  0.03402827  0.03505975  0.03383744  0.0366351   0.03408698
  0.0390279   0.03365868  0.0329776   0.02806815  0.04163316  0.03824953
  0.03956178  0.03405361  0.03552261  0.033552    0.03176988  0.03577461
  0.0335729   0.03538247  0.03671394  0.03484317  0.03784898  0.02846098
  0.03564318  0.0312125   0.03171519  0.03729124  0.03651533  0.03123481
  0.03503641  0.03751718  0.03374125  0.03446789  0.0339604   0.03507237
  0.03714455  0.03267813  0.03480911  0.03521704  0.03221263  0.03334887
  0.03463215  0.03534836  0.03172335  0.03482288  0.03526998  0.03448879
  0.03445796  0.03573877  0.03519574  0.0337712   0.03317149  0.03860292
  0.0373973   0.03436523  0.03388534  0.03486861  0.03645364  0.03486217
  0.03420624  0.03790106  0.03322766  0.03357498  0.03279983  0.03593397
  0.03562523  0.03709927  0.03052297  0.0346333   0.03427177  0.03563103
  0.03471955  0.03644109  0.03662111  0.036909    0.03785601  0.03791224
  0.03523854  0.03612459  0.03484919  0.03433029  0.03488138  0.03372903
  0.03421015  0.03326952  0.03614142  0.03335517  0.03525511  0.03438662
  0.03852555  0.03531066  0.03485785  0.03453186  0.03696461  0.03614234
  0.03473964  0.03723242  0.0369012   0.03548619  0.03524142  0.03124779
  0.03402254  0.0353404   0.03583505  0.03375114  0.0331536   0.0342582
  0.03343519  0.03618456  0.03534127  0.03503025  0.03955855  0.03292953
  0.03355048  0.03381223  0.03450115  0.02432365  0.03505161  0.03349512
  0.03482131  0.03596504  0.03436199  0.03543653  0.03351807  0.03530683
  0.03436373  0.03527139  0.03704242  0.03432546  0.03263207  0.03383714
  0.03486342  0.03609581  0.03615875  0.03501492  0.03598061  0.03419045
  0.03472569  0.03644665  0.03417229  0.03487588  0.03450643  0.03260501
  0.03273013  0.03850799  0.03569792  0.03532459  0.02672066  0.03452402
  0.03434934  0.03513585  0.02932147  0.03822651  0.03496976  0.03686064
  0.03470651  0.03620999  0.03477658  0.03633691  0.03542229  0.034335
  0.03401994  0.0384854   0.03525926  0.03751837  0.03720865  0.03277134
  0.03603473  0.03408607  0.03533027  0.03748336  0.03283457  0.03363062
  0.03681426  0.03801445  0.0324482   0.03193179  0.03516891  0.03507365
  0.03267874  0.03302301  0.03326475  0.02790329  0.0346937   0.03478817
  0.03342205  0.03491133  0.03441276  0.03444865  0.03328206  0.03461141
  0.03498405  0.03451838  0.03617996  0.03514057  0.03660256  0.03482476
  0.03460829  0.03229051  0.0314084   0.03350554  0.03431619  0.03577288
  0.033915    0.03656988  0.03564121  0.03126924  0.03460573  0.03550598
  0.03260871  0.03284175  0.03470055  0.03475044  0.03251812  0.03169879
  0.03637839  0.03532493  0.03893246  0.03341911  0.03567883  0.03538387
  0.03808925  0.03506164  0.03239397  0.03839887  0.03419128  0.03407583
  0.03466821  0.03281618  0.03230334  0.03572197  0.03486925  0.03567799
  0.03315043  0.03582273  0.03573775  0.04171073  0.03581745  0.03665238
  0.0340051   0.03660913  0.03316739  0.03477647  0.03448666  0.03555001
  0.03393329  0.03506135  0.03417026  0.03569175  0.03487681  0.03363485
  0.02631404  0.02947519  0.03599334  0.03752853  0.0363114   0.03514946
  0.03622106  0.03408016  0.03812765  0.03505548  0.03450733  0.03441324
  0.03566918  0.03378087  0.03552276  0.03429525  0.0362739   0.03277277
  0.0342708   0.03497927  0.03350531  0.03473739  0.03481252  0.03385754
  0.03546468  0.0368746   0.03520322  0.03459808  0.0302193   0.03526905
  0.03535851  0.03261486  0.03551017  0.02136133  0.03514002  0.0322239
  0.03334406  0.0324374   0.03384537  0.03514829  0.03506245  0.0366494
  0.03372858  0.03538102  0.03280531  0.03517904  0.03437232  0.03516579
  0.03511485  0.03525847  0.0341908   0.03353399  0.03431582  0.03572659
  0.03609     0.03562972  0.03548475  0.03335393  0.03743632  0.03531019
  0.03397366  0.03427476  0.0344409   0.03316492  0.02750059  0.03411366
  0.03253007  0.03475512  0.03312582  0.03472441  0.03628789  0.03483249
  0.03505782  0.03540904  0.03371864  0.03296433  0.03475999  0.03514384
  0.03598128  0.03588907  0.03486405  0.03334941  0.03394804  0.03527591
  0.03602177  0.03502767  0.03426214  0.03431561  0.03526479  0.0342061
  0.03521254  0.03392014  0.0369109   0.03497076  0.0309331   0.03599226
  0.03592552  0.03488542  0.034643    0.03488503  0.03796585  0.03480234
  0.0345319   0.03692278  0.03560663  0.03449698  0.0297262   0.03438797
  0.03408365  0.03504492  0.03368825  0.03479161  0.03636581  0.03234559
  0.03583795  0.03439543  0.03446549  0.03610622  0.03578367  0.03447191
  0.03638758  0.03491165  0.03410876  0.03428235  0.03469495  0.03416646
  0.03486527  0.03550982  0.02194499  0.03543179  0.03308678  0.03324383
  0.03821335  0.03451959  0.03393779  0.03680479  0.03419456  0.03494472
  0.03391252  0.03315231  0.03699202  0.03765586  0.04110365  0.0288651
  0.03263358  0.03562034  0.03433588  0.03636749  0.0374363   0.03359946
  0.03594245  0.03597284  0.03691508]"
146,resistant,0.000100,5,1536,[ 0.03598146]
147,resistant,0.050000,50,384,"[ 0.03424506  0.03618905  0.03528434  0.03350889  0.0350178   0.03553381
  0.03441693  0.03319615  0.03547896  0.03402784  0.03374341  0.03591019
  0.03788762  0.03510437  0.0345845   0.03549667  0.03476069  0.03484959
  0.03568305  0.03451604  0.03473577  0.03507034  0.03454991  0.03549153
  0.03544366  0.03613037  0.03414344  0.03569786  0.03367048  0.03173403
  0.03468848  0.03397745  0.03349944  0.03607077  0.03624899  0.03359859
  0.03529001  0.03551718  0.03626015  0.03478542  0.03492296  0.03481166
  0.03462038  0.03353686  0.03561718  0.03720076  0.03442915  0.03464796
  0.0345793   0.03527412  0.03456364  0.03867341  0.03474471  0.03278543
  0.03395382  0.03464046  0.03537912  0.03424381  0.03950398  0.03483442
  0.03510171  0.03464575  0.03669459  0.03485768  0.03515122  0.03118075
  0.03891003  0.03356066  0.03519103  0.03573697  0.03367081  0.03536132
  0.03544848  0.03574996  0.03069128  0.03502976  0.03486435  0.03536565
  0.03451423  0.03572951  0.03500432  0.03571761  0.03403156  0.033692
  0.0345488   0.03448712  0.03447422  0.03319341  0.03506235  0.03427128
  0.03082863  0.03559095  0.03389084  0.03503991  0.03494008  0.03480394
  0.0341798   0.03575873  0.03302472  0.03268472  0.03516808  0.03547986
  0.03484651  0.03311488  0.03341315  0.03540246  0.03484882  0.03204972
  0.03493241  0.03641676  0.03438429  0.03452594  0.03503685  0.0355761
  0.03563037  0.0346991   0.03445973  0.03688532  0.03517515  0.03547603
  0.03711183  0.03666285  0.03376146  0.0342105   0.03602688  0.03533004
  0.03621245  0.03587908  0.03391339  0.03609603  0.03438609  0.03490669
  0.03583964  0.03538231  0.03568432  0.03857614  0.03520827  0.03619679
  0.0355661   0.03416089  0.03497139  0.03504256  0.0351158   0.03602145
  0.03543272  0.03579119  0.03531404  0.03488751  0.03592121  0.0369297
  0.03498233  0.03522362  0.03480574  0.03559854  0.03556016  0.0342823
  0.03375541  0.03579567  0.03521346  0.03317582  0.03448814  0.03462113
  0.03402268  0.03483068  0.03585647  0.03435833  0.03565017  0.03579388
  0.03521066  0.03472723  0.03298464  0.03467884  0.03469925  0.03432865
  0.03365764  0.03574135  0.036769    0.03363069  0.04109739  0.03502165
  0.0350341   0.03444615  0.03372499  0.03617005  0.03493581  0.03552461
  0.03641183  0.03254375  0.03437047  0.03425151  0.03692187  0.03471469
  0.03365976  0.03500755  0.03358412  0.0345024   0.03574545  0.03636603
  0.03506396  0.03418017  0.03480828  0.0360516   0.03377043  0.04020656
  0.03636753  0.03391018  0.03401554  0.03481994  0.03385119  0.03469866
  0.03542443  0.03383686  0.03350694  0.03504285  0.03368866  0.03455994
  0.03493841  0.03749261  0.03542751  0.03532898  0.03367835  0.03483548
  0.03505293  0.03561852  0.03498425  0.03588028  0.03158862  0.03481006
  0.03503855  0.03366653  0.03474997  0.03515655  0.0347696   0.03444074
  0.03565102  0.03498989  0.03557969  0.03426305  0.02726564  0.03446123
  0.03525987  0.03662298  0.03297939  0.03508841  0.03510091  0.03523068
  0.03565856  0.03290843  0.0361665   0.03479841  0.03394292  0.03197115
  0.03329651  0.03394795  0.03528605  0.03521843  0.03535421  0.03579908
  0.03337973  0.03677689  0.03524278  0.03626385  0.03570021  0.03580978
  0.03268435  0.03515093  0.03469461  0.03548368  0.03411654  0.0356053
  0.03448476  0.03391402  0.03566482  0.03499561  0.03512464  0.03425011
  0.03603147  0.03514049  0.034156    0.03584831  0.03327711  0.03606055
  0.0339865   0.03540027  0.03417593  0.03556716  0.03683225  0.03460589
  0.03472666  0.03559753  0.03568037  0.03229585  0.0353317   0.02954082
  0.03453346  0.03240277  0.035255    0.03477012  0.03372214  0.03504607
  0.03534766  0.03401404  0.03588941  0.03464853  0.03651108  0.03418977
  0.03534904  0.0339053   0.03567187  0.03343901  0.03436026  0.03647398
  0.03562913  0.03513926  0.03611548  0.03470811  0.03460316  0.03274259
  0.03281129  0.03612092  0.03240521  0.03308904  0.0364885   0.03416036
  0.03597996  0.03519841  0.03646743  0.03451924  0.03348034  0.03536214
  0.03757778  0.03340618]"
148,resistant,0.500000,50,384,"[ 0.03561222  0.03466383  0.03503869  0.03488443  0.03493797  0.0355996
  0.03502155  0.03517185  0.03537909  0.03509865  0.03513525  0.03456336
  0.0352745   0.03505848  0.03521181  0.03467091  0.0348819   0.03492499
  0.03505716  0.03476099  0.03499052  0.03493984  0.03463288  0.03490866
  0.03515143  0.03490744  0.03510171  0.03457627  0.03522466  0.03461166
  0.0350869   0.03489607  0.03536421  0.03490116  0.03556688  0.03522818
  0.03521489  0.03444481  0.03494524  0.03492105  0.03549544  0.03475617
  0.03479179  0.03487617  0.03501077  0.03479622  0.03555787  0.03632461
  0.03531779  0.03434128  0.03518193  0.03503827  0.03491281  0.03445301
  0.03511003  0.03526614  0.03481805  0.03507028  0.03603145  0.03491294
  0.03501441  0.03474572  0.03551671  0.03487531  0.0348666   0.03460594
  0.03492273  0.03542519  0.03526274  0.03481459  0.03543411  0.03520665
  0.03536499  0.03466438  0.03516658  0.03490187  0.03538428  0.03566343
  0.03500074  0.03540738  0.03531262  0.0352648   0.03455415  0.03552322
  0.03467038  0.0352271   0.03541466  0.03497159  0.03483948  0.03514443
  0.0343117   0.03411201  0.03529208  0.03506432  0.03481059  0.0347804
  0.03485773  0.03506705  0.03513744  0.03530034  0.03509686  0.03541132
  0.03505997  0.03515167  0.03513025  0.03470995  0.03503274  0.03577359
  0.03475015  0.03531267  0.03518105  0.03444572  0.03490102  0.03389588
  0.03495016  0.03457942  0.03476966  0.03471969  0.03491618  0.03526213
  0.03518113  0.03530504  0.03490304  0.03463863  0.03476494  0.03489
  0.03497429  0.03479802  0.03516602  0.03417619  0.03481022  0.03517348
  0.03473052  0.03557725  0.03469071  0.0356756   0.03514223  0.0348266
  0.03564715  0.03548842  0.03566673  0.03509502  0.03498371  0.03516081
  0.03539251  0.03453081  0.03480254  0.03506577  0.0350466   0.03493788
  0.03486876  0.03504476  0.03501107  0.03517534  0.03498742  0.03511845
  0.03483283  0.03532328  0.03509398  0.0353382   0.03560708  0.0353584
  0.03453381  0.0351433   0.03470493  0.03463748  0.03443284  0.03513951
  0.03500499  0.03499137  0.03525672  0.03495568  0.03507165  0.03562749
  0.03557381  0.03482008  0.0351734   0.03483444  0.03505101  0.03530006
  0.03499601  0.0347069   0.03484035  0.03531884  0.03488693  0.03454619
  0.03493952  0.0354021   0.0345908   0.03432371  0.0348235   0.0349153
  0.03509778  0.03519802  0.0356569   0.03499147  0.0350429   0.03488795
  0.03495723  0.034586    0.03455487  0.03483463  0.03507556  0.03519577
  0.03511521  0.03519035  0.03502322  0.03432279  0.03506549  0.03505514
  0.03539761  0.03467946  0.03467563  0.03526763  0.03531276  0.03490123
  0.03498189  0.03534502  0.03438972  0.03509196  0.03524733  0.03492945
  0.03555994  0.03427966  0.03512749  0.03534191  0.03477424  0.03449026
  0.03427801  0.03527201  0.0346736   0.03558505  0.03568833  0.03429404
  0.03500381  0.03500329  0.03598716  0.03543804  0.03561897  0.03490349
  0.03502177  0.03505641  0.03491217  0.03487556  0.03492365  0.03480686
  0.03449918  0.03495305  0.03519329  0.03552578  0.03583083  0.03514952
  0.03483918  0.03490958  0.03494835  0.03515268  0.03483947  0.0346964
  0.03545717  0.03494846  0.03535761  0.0348058   0.03524013  0.03460302
  0.03537678  0.03558258  0.03442233  0.03519555  0.03539497  0.03454357
  0.03517284  0.03516322  0.03508788  0.03435095  0.03461542  0.03548656
  0.03491781  0.03482926  0.03453529  0.0352052   0.03523522  0.03482279
  0.03484708  0.03415856  0.03534969  0.03535793  0.03520625  0.03472628
  0.03431074  0.03487034  0.03462293  0.03496393  0.03503558  0.03452856
  0.0353191   0.03536038  0.0342096   0.03459593  0.03462842  0.03467108
  0.03443151  0.03481798  0.03500108  0.03534396  0.03506053  0.03478059
  0.03467937  0.03527261  0.0353467   0.03472362  0.03510375  0.03493156
  0.03512826  0.03507184  0.03493617  0.03571404  0.03504399  0.03526003
  0.03551303  0.03527327  0.03491005  0.03492119  0.03497969  0.03535837
  0.03501089  0.03488502  0.03523851  0.03512424  0.03473706  0.03479678
  0.03497983  0.03533484  0.03460206  0.03553992  0.03493507  0.03475065
  0.03482402  0.03509513  0.03509794  0.03512244  0.03483512  0.03496243
  0.03450891  0.03528601  0.03467398  0.03526002  0.0347792   0.03479353
  0.03494554  0.03475081  0.03504705  0.0352115   0.03565744  0.03513463
  0.03516231  0.0353323   0.03490912  0.03486519  0.03460276  0.034879
  0.03511376  0.0349802   0.03477276  0.03454191  0.03546314  0.03504962
  0.03539844  0.03515918  0.03509377  0.03469872  0.03486072  0.03509481
  0.0350156   0.03540957  0.03536358  0.03434318  0.03538519  0.03504665
  0.03577567  0.03474504  0.03488857  0.03476672  0.03478009  0.03519342]"
151,resistant,0.000000,100,96,[]
158,resistant,0.050000,100,96,"[ 0.035696    0.03612712  0.03364996  0.0348774   0.03457221  0.0340451
  0.03528664  0.02950232  0.03527961  0.03526009  0.03583719  0.03627857
  0.03577171  0.0348776   0.03499123  0.0353322   0.03456518  0.03515022
  0.03517256  0.03494597  0.03495531  0.03506788  0.03522473  0.03547249
  0.03502977  0.03476151  0.03487361  0.03561454  0.03549655  0.03544811
  0.03681187  0.03255001  0.03438071  0.03513648  0.03573884  0.03549586
  0.03493738  0.03519452  0.03437353  0.03548001  0.03364309  0.03495674
  0.03586043  0.03472669  0.03486081  0.03594464  0.03401043  0.03543154
  0.03441384  0.03579671  0.0348363   0.03425985  0.03456042  0.03466715
  0.03479434  0.03559727  0.03235428  0.03530617  0.03609624  0.03382203
  0.03542931  0.0359992   0.03512286  0.03412331  0.03558718  0.03505503
  0.03494032  0.03480984  0.03429939  0.03489062  0.03541143  0.03424856
  0.03511957  0.03365886  0.03511299  0.032935    0.03606526  0.03408837
  0.03428267  0.03439897  0.03561294  0.03497636  0.03334219  0.03565202
  0.03502854  0.03510462  0.03568083  0.03688816  0.03466045  0.0350759
  0.03533985  0.03410867  0.03413432  0.03487984  0.03434585]"
161,resistant,0.000010,50,1536,[]
165,resistant,0.200000,10,1536,"[ 0.03550277  0.02874433  0.03413816 ...,  0.03500381  0.03293319
  0.0349138 ]"
