,DIP1,DIP2
0,0.0005,0.0055
1,0.0005,0.005699999999999999
2,0.0005,0.0059
3,0.0005,0.0060999999999999995
4,0.0005,0.0063
5,0.0005,0.0065
6,0.0005,0.006699999999999999
7,0.0005,0.0069
8,0.0005,0.0070999999999999995
9,0.0005,0.0073
10,0.0005,0.0075
11,0.0007,0.0055
12,0.0007,0.005699999999999999
13,0.0007,0.0059
14,0.0007,0.0060999999999999995
15,0.0007,0.0063
16,0.0007,0.0065
17,0.0007,0.006699999999999999
18,0.0007,0.0069
19,0.0007,0.0070999999999999995
20,0.0007,0.0073
21,0.0007,0.0075
22,0.0009,0.0055
23,0.0009,0.005699999999999999
24,0.0009,0.0059
25,0.0009,0.0060999999999999995
26,0.0009,0.0063
27,0.0009,0.0065
28,0.0009,0.006699999999999999
29,0.0009,0.0069
30,0.0009,0.0070999999999999995
31,0.0009,0.0073
32,0.0009,0.0075
33,0.0011,0.0055
34,0.0011,0.005699999999999999
35,0.0011,0.0059
36,0.0011,0.0060999999999999995
37,0.0011,0.0063
38,0.0011,0.0065
39,0.0011,0.006699999999999999
40,0.0011,0.0069
41,0.0011,0.0070999999999999995
42,0.0011,0.0073
43,0.0011,0.0075
44,0.0013,0.0055
45,0.0013,0.005699999999999999
46,0.0013,0.0059
47,0.0013,0.0060999999999999995
48,0.0013,0.0063
49,0.0013,0.0065
50,0.0013,0.006699999999999999
51,0.0013,0.0069
52,0.0013,0.0070999999999999995
53,0.0013,0.0073
54,0.0013,0.0075
55,0.0015,0.0055
56,0.0015,0.005699999999999999
57,0.0015,0.0059
58,0.0015,0.0060999999999999995
59,0.0015,0.0063
60,0.0015,0.0065
61,0.0015,0.006699999999999999
62,0.0015,0.0069
63,0.0015,0.0070999999999999995
64,0.0015,0.0073
65,0.0015,0.0075
66,0.0005,0.0055
67,0.0005,0.005699999999999999
68,0.0005,0.0059
69,0.0005,0.0060999999999999995
70,0.0005,0.0063
71,0.0005,0.0065
72,0.0005,0.006699999999999999
73,0.0005,0.0069
74,0.0005,0.0070999999999999995
75,0.0005,0.0073
76,0.0005,0.0075
77,0.0007,0.0055
78,0.0007,0.005699999999999999
79,0.0007,0.0059
80,0.0007,0.0060999999999999995
81,0.0007,0.0063
82,0.0007,0.0065
83,0.0007,0.006699999999999999
84,0.0007,0.0069
85,0.0007,0.0070999999999999995
86,0.0007,0.0073
87,0.0007,0.0075
88,0.0009,0.0055
89,0.0009,0.005699999999999999
90,0.0009,0.0059
91,0.0009,0.0060999999999999995
92,0.0009,0.0063
93,0.0009,0.0065
94,0.0009,0.006699999999999999
95,0.0009,0.0069
96,0.0009,0.0070999999999999995
97,0.0009,0.0073
98,0.0009,0.0075
99,0.0011,0.0055
100,0.0011,0.005699999999999999
101,0.0011,0.0059
102,0.0011,0.0060999999999999995
103,0.0011,0.0063
104,0.0011,0.0065
105,0.0011,0.006699999999999999
106,0.0011,0.0069
107,0.0011,0.0070999999999999995
108,0.0011,0.0073
109,0.0011,0.0075
110,0.0013,0.0055
111,0.0013,0.005699999999999999
112,0.0013,0.0059
113,0.0013,0.0060999999999999995
114,0.0013,0.0063
115,0.0013,0.0065
116,0.0013,0.006699999999999999
117,0.0013,0.0069
118,0.0013,0.0070999999999999995
119,0.0013,0.0073
120,0.0013,0.0075
121,0.0015,0.0055
122,0.0015,0.005699999999999999
123,0.0015,0.0059
124,0.0015,0.0060999999999999995
