,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
78,2.4465522620723496e-06,not.assigned,0.001,0.026,0.024999999999999998,78,not.assigned
79,0.005341137533038907,not.assigned,0.001,0.026,0.024999999999999998,79,not.assigned
80,0.009663210030581064,not.assigned,0.001,0.026,0.024999999999999998,80,not.assigned
81,1.2546478949238496e-27,not.assigned,-0.001,0.026,0.027,81,not.assigned
82,2.994226141530237e-20,not.assigned,-0.001,0.026,0.027,82,not.assigned
83,4.5651058536774596e-21,not.assigned,-0.001,0.026,0.027,83,not.assigned
84,5.26377160428559e-10,not.assigned,0.0,0.026,0.026,84,not.assigned
85,2.2480944123775344e-07,not.assigned,0.0,0.026,0.026,85,not.assigned
86,1.2661345580577615e-10,not.assigned,0.0,0.026,0.026,86,not.assigned
87,7.516899115892269e-06,not.assigned,0.001,0.026,0.024999999999999998,87,not.assigned
88,0.001897010378338022,not.assigned,0.001,0.026,0.024999999999999998,88,not.assigned
89,0.014105067506936634,not.assigned,0.001,0.026,0.024999999999999998,89,not.assigned
90,1.8217448138511344e-21,not.assigned,-0.001,0.026,0.027,90,not.assigned
91,6.399704141402234e-23,not.assigned,-0.001,0.026,0.027,91,not.assigned
92,1.2457005411599404e-24,not.assigned,-0.001,0.026,0.027,92,not.assigned
93,6.301155662322333e-05,not.assigned,0.0,0.026,0.026,93,not.assigned
94,1.2381655669477903e-08,not.assigned,0.0,0.026,0.026,94,not.assigned
95,1.6624625211226534e-06,not.assigned,0.0,0.026,0.026,95,not.assigned
96,1.1416616934077101e-05,not.assigned,0.001,0.026,0.024999999999999998,96,not.assigned
97,0.021966245774621744,not.assigned,0.001,0.026,0.024999999999999998,97,not.assigned
98,0.0031737575872431306,not.assigned,0.001,0.026,0.024999999999999998,98,not.assigned
99,9.071134329744584e-21,not.assigned,-0.001,0.026,0.027,99,not.assigned
100,1.8651407349862732e-24,not.assigned,-0.001,0.026,0.027,100,not.assigned
101,1.7665679058226194e-20,not.assigned,-0.001,0.026,0.027,101,not.assigned
102,1.5230210949627918e-05,not.assigned,0.0,0.026,0.026,102,not.assigned
103,1.498661045669753e-08,not.assigned,0.0,0.026,0.026,103,not.assigned
104,3.5378771715505696e-06,not.assigned,0.0,0.026,0.026,104,not.assigned
105,0.00013360321598444727,not.assigned,0.001,0.026,0.024999999999999998,105,not.assigned
106,0.08734022485556556,not.assigned,0.001,0.026,0.024999999999999998,106,not.assigned
107,0.00169072561032585,not.assigned,0.001,0.026,0.024999999999999998,107,not.assigned
108,8.122463204224718e-21,not.assigned,-0.001,0.027,0.028,108,not.assigned
109,3.221145726145816e-24,not.assigned,-0.001,0.027,0.028,109,not.assigned
110,1.9385766681855815e-25,not.assigned,-0.001,0.027,0.028,110,not.assigned
111,1.5815628340709713e-10,not.assigned,0.0,0.027,0.027,111,not.assigned
112,1.0579622813315244e-07,not.assigned,0.0,0.027,0.027,112,not.assigned
113,1.3057437519091584e-06,not.assigned,0.0,0.027,0.027,113,not.assigned
114,5.924513238542707e-05,not.assigned,0.001,0.027,0.026,114,not.assigned
115,0.002536702424110559,not.assigned,0.001,0.027,0.026,115,not.assigned
116,0.030393143651915547,not.assigned,0.001,0.027,0.026,116,not.assigned
117,2.756397239048483e-23,not.assigned,-0.001,0.027,0.028,117,not.assigned
118,8.176766587188224e-21,not.assigned,-0.001,0.027,0.028,118,not.assigned
