,DS8
0,-0.0009273148475904042
1,0.0011484263782089007
2,0.0010288617940433721
3,0.0012288541004266376
4,-0.008290662491014475
5,-0.008150657131455328
6,0.0012146269551452362
7,0.00020199594414313914
8,0.0028887296200816167
9,-0.004318290219897489
10,-0.002858173365202994
11,-0.0005092463761111107
12,-0.00036573432520459144
13,0.0017056104069157346
14,0.0019380782226545684
15,0.0021890031475097008
16,-0.003567875209998661
17,-0.0030775386695888925
18,-0.0011435769579556563
19,0.0003195606167370208
20,0.0030240745235267184
21,0.0005545852475908016
22,0.0007663708338341181
23,0.003950852806158065
24,-0.0010765556181663708
25,-6.705231648472625e-05
26,-0.00012417387535909572
27,-0.00015839134625528028
28,0.004912545989039985
29,-0.002464419444346034
30,0.002568158817079627
31,-0.001737496851808124
32,0.0037601669910976047
33,-0.002802614759770964
34,0.004660205226506965
35,0.002666040041739973
36,0.002551668390062749
37,0.002049701207063557
38,-0.0011485127707110774
39,0.0021314816997325564
40,-0.0014532169560930858
41,0.0029774349128949846
42,0.007949267555543055
43,0.004906045939610329
44,0.0022210158252633106
45,0.002730387845180294
46,-0.0023280529797017747
47,-0.0028319576511772982
48,0.0009246306405814439
49,0.00074894624554975
50,-0.009925679449603429
51,-0.0006867253705955527
52,0.00045026600507665036
53,0.000488935414216212
54,0.001986749980325311
55,0.001974969630070128
56,0.003360018572169489
57,-0.0001263752636077766
58,0.0034128418504654778
59,0.003373859998154944
60,-0.003998773488544092
61,0.00010504227220444344
62,-0.005929744348067457
63,-0.0003850087830114047
64,-0.0010821233211881804
65,-0.002920860062549135
66,0.0017767275535808763
67,0.003910114547764107
68,0.002225938199287182
69,0.0006751692857224665
70,0.0004821085108772847
71,-0.0008705318898264132
72,0.002797528453123744
73,0.0032814338507424446
74,0.00963850631465303
75,0.0021434601839463874
76,0.0021638921722022275
77,0.0012113122231775853
78,0.0021583650787144236
79,0.0005039903083842778
80,0.006537394657900495
81,0.003544055526946511
82,0.010949134453044641
83,0.0030045657042798582
84,0.00028997138781394484
85,-0.0007677962728875873
86,0.0044255697450392845
87,0.0022520957986132857
88,-0.002155605801401867
89,-0.004027107723479003
90,-0.00016104914951540412
91,0.0010746754939459013
92,0.00036541092688206533
93,0.0002799855695548063
94,-0.00588592531140965
95,0.0012922311780084194
96,-0.0001525678885368896
97,0.0019409030878567073
98,0.0019975994186773637
99,-0.005546524715280168
100,0.002668177201176427
101,0.0002978164415946132
102,0.0035705959803180344
103,0.0025496387501437196
104,0.004520676936831995
105,8.98089318324505e-05
106,-0.00011969657983401584
107,0.0005550663672615776
108,0.000636600885467576
109,0.0019095641244459658
110,0.0012412173956631099
111,0.004029659464152186
112,-0.0003944676172697074
113,0.002972799892531366
114,0.0038884401709135077
115,0.00040510490712646866
116,0.0006282439850760946
117,-0.0021868274868084587
118,0.0004610000523552679
119,0.003115080875377803
120,-0.00021291245433865044
121,-0.0037588497071029585
122,-0.005062864671521219
123,0.004377648226555235
124,0.000773181055337465
125,-0.00016232273983667468
126,0.002391405843916717
127,-0.0006505737308779219
128,0.00015263131057507843
129,-0.00220348553556605
130,-0.010227858822117011
131,0.00076725803300686
132,-3.74224046317132e-05
133,-0.0038534923176247885
134,0.0012179435661107396
135,0.0017451446422222093
136,0.0019900561921171464
137,0.00037931957931637924
138,0.001169980496009047
139,0.0023078005005400955
140,0.002235075166928202
141,9.191922753965887e-05
142,0.004324979683439204
143,0.003655601339722688
144,-0.005847013691629188
145,0.0033676648293709073
146,0.00019414703507816472
147,-0.0015619761311938454
148,0.003229836520696581
149,-0.01031393189207415
150,0.0002531712443684079
151,0.0036841566153862646
152,0.0013444296922673767
153,-0.0019361458703495865
154,-0.0004922317346380644
155,-0.00053731864019997
156,-0.0018068509569483361
157,0.002137889339395293
158,-0.0010925748771533094
159,0.00029821633951271457
160,0.007830549087288254
161,0.004526222739982382
162,0.00665278625849875
163,0.010728868587820116
164,0.00938864581585067
165,0.009435278758705251
166,0.012365870142134834
167,0.011898936222385572
168,0.009076696696634258
169,0.009656649607948549
170,0.009853653703486459
171,0.006848461929915426
172,0.00920514750475117
173,0.010408109561823708
174,0.012019306250765981
175,0.010740547999380606
176,0.011981806631755812
177,0.01020716479863614
178,0.00917178613891956
179,0.006448476489561208
180,0.008755420521124187
181,0.011177935381426312
182,0.01054436628024535
183,0.012062625284092632
184,0.005691178974308666
185,0.016250743748639513
186,0.017016694215312125
187,0.007029671331792948
188,0.010774715173907655
189,0.01071713915087017
190,0.010019540652465605
191,0.006217041322933823
192,0.012730936193906145
193,0.010133992612219082
194,0.009329183873436661
195,0.01341210274556444
196,0.011587500428156783
197,0.006594442040168532
198,0.010049006325697893
199,0.010975348499268317
200,0.0085448739996387
201,0.011428653542698152
202,0.009176727677902683
203,0.007501083834422701
204,0.009186302325345862
205,0.0077669460547994925
206,0.008597157614246804
207,0.010128451538992776
208,0.008971790383789835
209,0.004473388150223274
210,0.008588540409498932
211,0.010342666346685963
212,0.009569732655572821
213,0.006399411354967126
214,0.010303139186727157
215,0.010649692381769504
216,0.010229921464964535
217,0.00590744361283804
218,0.011940078693947807
219,0.009779563797708968
220,0.011844454197770249
221,0.009112296359757873
222,0.007968987589484725
223,0.012709094048373722
224,0.008188799904933864
225,0.008714885992794977
226,0.009347095154535868
227,0.006186316111077342
228,0.010354325835969727
