,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
60,0.00014150349150945726,not.assigned,0.005,0.026,0.020999999999999998,60,not.assigned
61,0.08580201546317308,not.assigned,0.006,0.026,0.019999999999999997,61,not.assigned
62,0.3516809515384499,PC9-DS8,0.007,0.026,0.019,62,PC9-DS8.2
63,5.214899735100801e-22,not.assigned,0.005,0.027,0.022,63,not.assigned
64,1.2079839123412334e-18,not.assigned,0.006,0.027,0.020999999999999998,64,not.assigned
65,3.6287497637510675e-20,not.assigned,0.007,0.027,0.02,65,not.assigned
66,4.303120617732908e-09,not.assigned,0.005,0.027,0.022,66,not.assigned
67,1.2975824604256575e-06,not.assigned,0.006,0.027,0.020999999999999998,67,not.assigned
68,6.946883284328854e-09,not.assigned,0.007,0.027,0.02,68,not.assigned
69,0.0005591673236410713,not.assigned,0.005,0.027,0.022,69,not.assigned
70,0.021476763944281663,not.assigned,0.006,0.027,0.020999999999999998,70,not.assigned
71,0.20413661428462063,PC9-DS8,0.007,0.027,0.02,71,PC9-DS8.2
72,1.828250646702896e-18,not.assigned,0.005,0.024,0.019,72,not.assigned
73,3.6599390222220127e-19,not.assigned,0.006,0.024,0.018000000000000002,73,not.assigned
74,9.119038273714753e-25,not.assigned,0.007,0.024,0.017,74,not.assigned
75,1.4358735071951088e-06,not.assigned,0.005,0.024,0.019,75,not.assigned
76,7.700000527610813e-06,not.assigned,0.006,0.024,0.018000000000000002,76,not.assigned
77,2.4933012522811825e-07,not.assigned,0.007,0.024,0.017,77,not.assigned
78,0.0018119159571121793,not.assigned,0.005,0.024,0.019,78,not.assigned
79,0.008721397573676825,not.assigned,0.006,0.024,0.018000000000000002,79,not.assigned
80,0.0281438755910667,not.assigned,0.007,0.024,0.017,80,not.assigned
81,3.507098367313151e-18,not.assigned,0.005,0.025,0.02,81,not.assigned
82,1.706273681856643e-19,not.assigned,0.006,0.025,0.019000000000000003,82,not.assigned
83,1.1138368773540294e-17,not.assigned,0.007,0.025,0.018000000000000002,83,not.assigned
